Order,Text
174,ですよね　今までもそうだったっけ
175,この紙はずっと一緒です
176,私これ初めてやるんで
177,ゲートボールって打ったら喧嘩って出てきました
178,なにこれ　やばいやばい
179,一番最初に出てきたやつゲートボールは殺人事件が起きるほど
180,殺伐としてるって
181,そんな書いてあったんよ
182,チームで
183,言い争う
184,和気あいあいと……
185,俺もそのイメージだったけど
186,まずチーム戦だったんやって言う
187,俺てっきり個人戦だと思ってたからさ
188,個人戦で和気あいあいと可愛いおじいちゃん
189,おばあちゃん達がわいわい
190,若者とやるってのはいいかもしれないです
191,あーなるほどね
192,違う刺激が
193,子ども会でやってたんですゲートボールじゃなくてグランドゴルフですけど
194,お年寄りと子供会の子でチーム組んでやってたんですよ
195,そういうのを地域でやれればお年寄りと顔見知りになるから
196,何かあった時に
197,どこの誰だっていうのがわかるし
198,その発想はなかった
199,若い子と話すことは刺激にもなるし
200,そうやね確かに
201,子供達もなじみが出るから続けてもらいやすくなるし
202,長い目で見た時に抵抗がない
203,すげえ
204,今どれくらい子供会あるんですか　
205,それやねまず子供会って機能しとるんかね
206,私の時はまあまあって感じでしたけど
207,"私の時ももう12,3年前だからですね"
208,自分も10年前　10年前絶対変わってるな
209,ゲートボール……
210,非常識な老人たちとかいうのも多い
211,そういう老人は子供たちがいても
212,果たしてそういう素行は起こさないのか
213,と言うと
214,起こしますよそういう人は
215,すごい？？（○○市××区？）では
216,ゲートボールが3年前
217,ぐらい前から禁止になったんです
218,そのわけは老人同士の殴り合い…元気だな
219,相手のボールを邪魔するように
220,ボール置いたりするんですが
221,「貴様！何でわしのボールばっかり邪魔するんや！」
222,「そんなことはない」というやり取りで殴り合いの大乱闘
223,そうかあれ邪魔ができるっけ　邪魔できるんや
224,地域ルールですかね
225,わかんない
226,てっきりゴルフみたいに
227,なんかマーカーみたいなの置いて
228,どっかどかすのかと
229,元気な人は元気ですね
230,老人ホームで色恋沙汰とか
231,よく聞きますよね　認知症の人はすごいセクハラしてくると
232,あと認知症じゃなくても
233,認知症であっても最後から二番目じゃなくて
234,ガチの最後の恋だって
235,死ぬ気で取りに行くっておじいちゃんおばあちゃんたちは
236,先立たれちゃったりしたら
237,もうお咎めもないので
238,どっちかに
239,結構聞きますよね
240,老人ホームでのそういうの
241,やっぱり子供会とかって
242,PTAがいまあんまりしていこうって言った
243,そういう風潮
244,になってるから
245,そうなんや
246,私たちの時は強制加入だったじゃないですか
247,でも今はそれが嫌だって言ってる人も増えてる
248,子ども会もどうなのかな
249,嫌だって言ってる人をどうやって入れるかよね
250,モチベがないからなあ
251,都会だとどうするんだろうって
252,田舎だとわりと
253,おばあちゃんがいるおじいちゃんがいるみたいなおうちだと参加してもらえる
254,都会は難しい都会ほど
255,そういうのしないと
256,そもそも顔を知らないから
257,どうやってさせるか
258,小学校　行事　頻繁にはできないでしょ生活科みたいなのと一緒にやっても
259,頻繁にそれなりに回数をしないと……
260,ウォーキング程度の運動を
261,週に三回する人は全くしない人に比べて
262,アルツハイマー型認知症発症率が
263,67%でしたっていうのがあって
264,30%軽減だった
265,そうですよ　そしたらゲートボールとか
266,ウォーキングとか選べたらいいのかなって　若干思った
267,ウォーキングなら小学生とかでもやりやすい
268,できれば
269,スタンプラリーみたいなのとか　地域で
270,とか体育の持久走のガチじゃない版
271,を地域でやるみたいな
272,ありますよねそういうの
273,あー
274,持久走やっちゃうとみんな死んじゃうから
275,それは体育の時間の代替みたいな感じ？
276,みたいな感じかな
277,それか体育の時間に体育やるんですけど地域で来たい人来ませんでもいいかな
278,中にちょっとやばい人がいたら
279,どうする　刃物持ってる人がいたら　それこそ認知症がやばくなっちゃって
280,高齢者のスポーツ
281,人口増えてるらしいんよね
282,全体的には　ゲートボールは減ってるけど
283,健康寿命が延びてるおかげで
284,別ゲートボールじゃなくても
285,テニスとかそう
286,いったことができるらしくって
287,だから分散されてるから
288,ゲートボール人口が減ってるとも言えるんだけど
289,多様性がってやつ
290,そう多様性があるから　確かにそうだけど
291,一番しやすいスポーツがゲートボールかなと
292,俺は思ったので公園に行けば　
293,あんまり年齢とか関係ないし
294,そう激しくないし
295,怪我もあんまり心配ないって理由ゲートボールに
296,したけど　
297,ゴールボールとかあるんですね
298,それなんか
299,投げるやつ？
300,あれです　ボーリングみたいな
301,やっぱ運動してもらったら
302,減らせるからいいですね
303,子供と高齢者
304,保育園とかだったら
305,幼稚園とかだったらそういう時間とりやすいじゃないですか
306,ちっちゃすぎると相手するのが大変かな
307,しゃがむのが大変そう
308,小学校って時間決まってるけど外遊びで公園に行くから
309,この時間の何曜日は地域の高齢者と遊ぶ
310,時間とかでもいいのかなと思ったけど
311,幼稚園生ってできる遊び考えるの
312,何してたかな幼稚園の頃
313,砂遊びしか記憶がない
314,幼稚園の記憶
315,がないです
316,砂遊び　泥団子　散歩
317,やっぱウォーキングになるよな
318,鬼ごっことかやっちゃうと
319,絶対高齢者がばてますよ
320,高齢者に向けて
321,鬼ごっこでみんなどっかわかんないとこに行って招集が難しい
322,ウォーキングとかをもうちょっとしやすく
323,まあ今の時点でしやすいけどな
324,ウォーキング
325,たぶん運動はねえ
326,既に出され
327,とるような案に集約しそうなんだよね
328,ちょっと視点変えるんですけど
329,おじいちゃんとかおばあちゃんとか
330,そういうことあんまりアレな家庭は
331,アレなんですけど
332,と孫が一緒にスポーツクラブに来た時に
333,安くするとか　そっち系に
334,なるほど　するとか　運動で　確かに　ないな
335,孫セット　でも孫とその祖父祖母が入会するような
336,スポーツクラブって何かある？
337,水泳とか？
338,あー水泳ね
339,そうやね　いいんじゃない
340,それこそプールがついてる温泉とかだったら
341,行きやすくないですか
342,温水いいですね
343,そんなプールある？鳥取にはあんまりなかったよ
344,伊都の湯どころとかなかったの？　温水プールじゃなかったですっけ
345,プールあるの？
346,えっ違ったっけ
347,適当に言ってます
348,別に温水じゃなくても泳ぐ・・・
349,温水がやっぱいいかな
350,手を洗わないひとつの理由として水が冷たいからがあるそうです
351,手を洗わないのと温水プールは関係ないですけど
352,温かい方がいいのか
353,心臓がちょっと？
354,あります　伊都の湯どころ温浴プール1750円
355,あったかなあ
356,温浴・フィットネス1750円
357,温浴・プール・フィットネス2880円だと
358,知らなかった
359,あとスタジオプールレッスン
360,1レッスン850円とかありますよ
361,そのスポーツクラブがあるの知っとる
362,その孫セットの財源は
363,どこから持ってくる
364,そうなんですよ
365,あと孫がいないお年寄りはどうする
366,あー
367,そうなんですよ
368,それが問題なのと孫だとか言い張って
369,なんかロリコンの人が変なことしだしたら
370,大変だろとか
371,それは特殊すぎない？
372,大多数ではないと思うよ大丈夫よ
373,うちの近くの幼稚園プールの着替え全部外でやっててめっちゃ怖かったんです
374,今どき？
375,私が小1とかの時
376,小2の時とかに全部そこでやってて見えてるから
377,私ですらロリコンが来たらどうしようと思って
378,まあ孫じゃなくてもいいんですけど
379,安全面からして孫がいいっていう
380,保育園とかで今小学校の生活科でやってるような昔遊びをやる
381,参加する人には身分の開示をしてもらってどこの誰かを分かるようにしてもらう
382,幼稚園児とか保育園児って外で触れあうと怖い
383,突拍子もない行動をするからお年寄り瞬発的に追いかけたり難しい
384,そうなるとやっぱり園の中で触れ合うとかにしないと
385,厳しいかなと
386,じゃあ園の中で
387,昔遊びを教えると
388,なんかね今介護士が足らないっていう問題を
389,老人とかで補えたら
390,いいかもね　昔遊びとかおしえるでもいいし
391,そしたらその分介護士は若干負担減るかな
392,幼稚園とか見てると
393,幼稚園から出てウォーキングしましょう
394,みたいなやつあるけど
395,幼稚園生10人ぐらいに対して
396,"3,4人の"
397,介護士　介護士じゃないや保育士が見とるくない？
398,それをもうちょっと減らしたいこともあるし
399,ひとりさえおれば大丈夫だよ
400,3人くらいの老人で囲む
401,幼稚園で行ってみる？
402,幼稚園保育園認定こども園ですね
403,お年寄り元気な人はめっちゃ元気ですもんね
404,毎回同じ話してきますけど
405,どっからそのパワーが湧いてくるんだって感じしますよね
406,85歳っていう方が握手された時に
407,手折れるわみたいな人いて　三日間くらい筋肉痛で
408,読み聞かせとかでもいいのかな
409,まあそうかもね　話すこともね
410,遊びの種類は限定せずそれぞれの得意なこととか
411,交流タイムみたいなのを毎週何曜日の午後とか
412,決めてもらって　登録制にして身分をちゃんとして
413,優先的にボランティアセンターとかで
414,ボランティアセンターっていうのがあるの？
415,はい　福岡は県にあります　他は知らないけど
416,こういうボランティアできますよ
417,みたいな
418,それで登録しといてそこに連絡先書いといて
419,電話来たら行くって言う
420,それは無償？
421,はいしかも交通費くれってかけます
422,交通費はもらう
423,くれって言う人もいますし　出来たらくれって言う人もいらないよっていう人もいます
424,そんなんあるんや　そういうボランティアセンターとか俺も知らんかったしさ
425,行ってるから知ってるだけで
426,すばらしい
427,ちょっと違うかもしれないですけど人材センターとかで案内をする仕事ではないんであれですけど
428,こういうキャンペーンがやってるんですけど
429,登録してみませんか
430,人材センターに登録してる人って元気な人だからみんな来てくれる
431,でもそういう元気な方って認知症なるかね？
432,いきなりなったりもしますよ
433,あそうなんや
434,65歳から69歳が2.2%ってことを考えると
435,74から
436,74.9％からのこっからの上がり具合が
437,そうかそうか　予防にもなるし別に元気な人にやらせてもいいのか
438,そういう習慣を長く
439,続けてもらうことで
440,シルバー人材センター
441,あれよね　老人ホーム
442,また老人ホームとは違うの？
443,お年寄りが安くいろいろ業者に頼むよりも安く
444,いろんな仕事してくれる
445,賃金でるっけ？
446,たしか出ますよ
447,でも使いたいな
448,六十歳以上で
449,健康で働く意欲をお持ちのあなたっていう
450,仕事辞めて時間を持て余してる元気なお年寄りとかが
451,主な仕事家庭教師
452,家庭教師？
453,庭木などの剪定　草刈機　家事代行
454,これめっちゃすごい　いいの？
455,いや俺たちはまだ入れんし
456,違いますよ
457,雇おうかなって　来てもらおうかな
458,そんないい人材がいたんや
459,結構いろんなことやってくれるんですね
460,あーでもそっかお金低いんだなるほどね
461,安いんだよね普通に業者に頼むより
462,お仕事してた方とか多分プロだから　だけど
463,そこの保証は
464,たぶんそこまでされてないのかなって感じ
465,でも家事代行とかそこら辺もできる　へーすごい
466,草刈りとかだったと思うん
467,みんな
468,雇おうとしないの　いい人材探さないの
469,やっぱり配分金が安いんだ　安いから
470,配分金って？
471,賃金みたいなもんです
472,最低賃金を下回ることもあるとか
473,たぶんこういうところでやってる人はあんまりお金目当てではない
474,世の中の役に立ちたいとか　勝手なイメージですけど
475,じゃあこの保育園に派遣するのは
476,有償？無償？
477,なんか有償にしちゃうと
478,無償で交通費支給ぐらいですかね
479,それなら財源は国
480,保育園の負担は
481,あんまり増やしたくないよね　
482,何年続けて
483,くれた人に何かあげるよとかあったらいいかな
484,それ多分涙が出てくるやつや
485,と思うけども
486,それ
487,子ども好きしか来ないから喜ぶと思うな
488,俺が見てるだけで泣きそう
489,お手紙とメダルと歌
490,涙出てきます
491,子ども的にも祖父母が近くに住んでない子供は
492,お年寄りとかと出会えてメリットはゼロではないのかな
493,お年寄りにも
494,事前研修はいるかなとは
495,若干思うけど
496,まあ若干面接とか
497,お父さんお母さんって言わないんだよ
498,みたいな
499,まああとあれよね
500,やっぱり親の許可をもらいたい
501,ところではあるけど
502,この日にこの時間にこういうことしますみたいな
503,親が嫌って言った場合には
504,その子は別室でみたいな
505,人数によるけど　そうやね
506,確かにそこらへん配慮は必要かな
507,変なステレオタイプだけは押し付けない
508,でくださいねっていうことよね
509,何言ってんのあんた
510,そんなことやったら結婚でき
511,ないは禁句ですね
512,それは出禁ですね
513,それはもう追放です
514,絶対言うじゃないですか
515,お年寄りって悪気なくそういうこと言うじゃないですか　違和感もなく
516,普通にさも当然かのようにそういうこと言う
517,スーパーで全く知らない人から
518,そんなやったら結婚できんよってめっちゃ言われて　怖い怖い
519,そういう人いますよね　何なんでしょうね
520,こんな感じ？
521,ですかね
522,まとめは　やりたい人
523,ありがとうございます
524,ありがとう先輩
525,嬉しいもんですかね
526,お年寄り来たら
527,保育園の年齢だったら
528,見知らぬ人　嬉しくない？
529,どうですかね　性格によるかも
530,お年寄りがすごい遊ぶ　けん玉とか好きな人いるじゃないですか
531,ああいう子とかはうまい人に教わると嬉しい
532,あんま年齢は気に
533,してないよね
534,運動不足や人と触れ合う機会を作り
535,そもそも認知症の抑制に　防止に努めるか
536,幼稚園やっぱり地元ですか
537,保育園とかって入れないって聞くから　幼稚園は地元なんですかね
538,幼稚園は地元で保育園は
539,越境か　幼稚園に行ける人がそもそも高等遊民だから
540,幼稚園すぐ帰るじゃないですか
541,秒で帰りますよ
542,秒で帰るから何しに行ったんみたいな
543,でも幼稚園でも附属幼稚園とかだったら
544,もうエリートだ
545,特殊な例ですよね
546,付属幼稚園入るときからテストあるけんね
547,付属幼稚園に入れとくって結構いいことですよね
548,将来考えたら
549,それなりのところに行ける
550,ちっちゃいうちに塾に通った方が
551,頭良くなるらしい
552,二、三歳のうちに塾通っといた方がいいらしい
553,何するんです？　パズルとかかなあ
554,シルバー人材センターに
555,積極的に登録させるような
556,何かもあったらいいですね
557,シルバー人材センターは有償になるので
558,シルバーセンターの別に団体じゃなくてもいいですし
559,案内をしてもらうってだけで　
560,そういう部門としてシルバー人材センターの中に作ってもらうとか
561,シルバー人材センターボランティアボランティア部門みたいな
562,一応県とかを通しておくと間違いがない
563,確かに慰問とかの逆パターンって
564,いいかも　幼稚園保育園ってすごい名前ですね
565,書いてて思ったけど　保育園まだしも幼稚園って駄目では
566,気になったことはなかったけど
567,そうやなあ
568,考えたことなかったですけど
569,でも何がいいって言われても
570,幼児園とかそんな感じか
571,それこそ育成とかでもいいと思うんですよ
572,私は
573,幼稚園の子の方が一般的に
574,民度高いとか言われるんじゃないですか
575,幼稚園に行く家って余裕がある家じゃないですか　親に
576,共働きだったとしてもパートでないですか
577,せいぜいお母さんが　だから余裕がある家だから　ってことじゃないですか
578,私保育園出身で
579,すごい幼稚園の人と一緒にされて
580,めっちゃ腹立ってたみたいであいつらと一緒にするのか小学校の暮らし
581,小1だったんですけど
582,すごいな　小1からそういうことに気が付けるとは
583,私は幼稚園なのでぬるま湯につかってた
584,両方行ってたけどあんまり違い
585,感じなかったけどな
586,保育園だと五時六時までわんわん一人遊びしてましたよ
587,保育士ですね幼稚園でも保育士ですよね
588,それ思った
589,幼稚園は先生じゃないですか
590,でもどうなんだろう幼稚園は保育士なのかな
591,幼稚園って何幼稚園士とも言わんし
592,幼稚園は　幼稚園の先生
593,そう言うけど
594,保育園の先生も保育園の先生って言いますもんね
595,正式名がわからん
596,私たちが呼ぶとき保育士さんとか言わないじゃないですか
597,それはすげーわ
598,養護教諭　幼稚園教諭
599,幼稚園教諭と保育士なんだ
600,幼稚園って教育ですよね
601,違いますよね
602,幼稚園教諭の免許って感じで
603,教員免許みたいな
604,なんか幼稚園は準学校みたいな感じで
605,そうだそうだそうだ
606,保育園はちょっと違うみたいな
607,保育園違うの？
608,じゃあ教諭って
609,書かないといけない
610,幼稚園教諭ですね　たぶん
611,そんなことどうでもいいんでしょうけど
612,全然　気になっちゃった
613,教師じゃないですけど幼稚園は教育機関って扱いなんですよ
614,保育園はただの保育施設って感じ　確か
615,幼稚園ってそんな教育っぽいことやってたっけ？
616,ない
617,よね
618,多分目的の違いだと思いますよ
619,確かにちょっと教育っぽかった気がします
620,保育園は結局親が働くために預けてるけど幼稚園は
621,社会性とか学ばすために預けてるっていう一応の建前の違いはあるんですよ
622,保育園でも社会性はありましたけどね
623,保育園の子は強いイメージある割と
624,幼稚園って二時とか三時までですよね
625,確かに幼稚園は早かったわ
626,もう全然思い出せんなあ
627,お遊戯会とかをやってたなっていう記憶はあります
628,やってました
629,この間ビデオ見たんですよ実家で　全然覚えてない
630,まとめ終わりました
