Order,Start time(HH:MM:SS),End time(HH:MM:SS),Text,Speaker,Start time(ms),End time(ms)
54,00:13:34,00:13:39,条件とかもありますよ 10から40代とかでいいですか,2,814136,819396
55,00:13:39,00:13:43,画面のお金出せるかな,4,819404,823624
56,00:13:43,00:13:50,お金はあるけど使う時間がない人たち,0,823640,830100
57,00:13:50,00:13:59,マー君にお金を使ってくれそうなその余裕がある,4,830116,839496
58,00:13:59,00:14:07,神,0,839516,847876
59,00:14:07,00:14:10,穴っていうのもあれでした,2,847888,850208
60,00:14:10,00:14:12,歯の矯正,0,850220,852140
61,00:14:12,00:14:19,なんかなんかそんなに 女じゃないですけど 深夜の30分ぐらいまでに,1,852160,859220
62,00:14:19,00:14:23,あれーとかなんか,0,859228,863688
63,00:14:23,00:14:32,だから グレがあってなんかこ カップルが仲直りして片方が料理 最後にしにご飯食べて美味しいね みたいなパクリですよ,1,863704,872884
64,00:14:32,00:14:34,,0,872904,874884
65,00:14:34,00:14:37,ご飯を満たされたいのかも,2,874904,877644
66,00:14:37,00:14:39,第一,1,877660,879020
67,00:14:39,00:14:51,えみやさんちの今日ご飯とかもなんかアニメキャラが今日はこういう天気だからこれを買いたいなーで 中盤 ぐらい料理作って 中盤で色んなキャラで食べて,1,879544,891444
68,00:14:51,00:14:54,漫画とかも多いよね 配合に レシピ,2,891456,894976
69,00:14:54,00:14:55,,1,894992,895972
70,00:14:55,00:14:56,,2,895992,896972
71,00:14:56,00:14:58,レシピ,4,896992,898332
72,00:14:58,00:15:02,,0,898344,902124
73,00:15:02,00:15:04,怪獣 ラピート,1,902140,904280
74,00:15:04,00:15:07,三鷹 遅い して,2,904292,907932
75,00:15:07,00:15:13,同じ話を15分で前半と後半 同じ話だけど中身の声優,1,907948,913348
76,00:15:13,00:15:23,そかそか レパートリー パープル かも,4,913360,923900
77,00:15:23,00:15:28,ちょっと出した旅行班 間に合う,1,923920,928260
78,00:15:28,00:15:37,前半の盛り上がりの ネット状況によって 後半 見ようか 絶対 T がやりたくないですか,0,928276,937076
79,00:15:37,00:15:40,多分 ネット配信 6 K,4,937084,940664
80,00:15:40,00:15:45,後から見返す 公式 YouTube,1,940684,945584
81,00:15:45,00:15:47,渡しますよね,2,945608,947308
82,00:15:47,00:15:50,ポケモンとか一週間だけなら見れる,1,947324,950324
83,00:15:50,00:15:54,DVD って寄り添って,4,950340,954360
84,00:15:54,00:15:57,電話 切れない,1,954380,957200
85,00:15:57,00:16:01,DVD に特典をいっぱいつけて 懇願,0,957224,961524
86,00:16:01,00:16:05,より 付加価値 つけないと,4,961548,965248
87,00:16:05,00:16:08,さより 再生回数でかい,1,965256,968256
88,00:16:08,00:16:11,,4,968272,971452
89,00:16:11,00:16:13,なんか すみれやろ,1,971460,973720
90,00:16:13,00:16:20,移動中とかに見られるって,0,973728,980628
91,00:16:20,00:16:40,てかもしれない シナリオ シナリオ そういう感じで草 どれがいいんだろう,1,980636,1000336
92,00:16:40,00:16:44,くっつくのが開かないんですけど コナンカフェ 行ったことある,0,1000352,1004752
93,00:16:44,00:16:49,今 飛んだけど前は頑張ってほしい,2,1004776,1009196
94,00:16:49,00:16:50,,3,1009212,1010592
95,00:16:50,00:16:51,,2,1010608,1011848
96,00:16:51,00:16:55,でもそういうふう テンパレイ 限られてるような,2,1011848,1015648
97,00:16:55,00:16:59,パッチワーク するなあ コラボの化粧品,0,1015668,1019568
98,00:16:59,00:17:01,,2,1019580,1021380
99,00:17:01,00:17:06,ちょっと好きでも普通の,0,1021400,1026080
100,00:17:06,00:17:25,あったらねこっちメガネとコラボとかな,2,1026101,1045081
101,00:17:25,00:17:26,日常 アニメ,1,1045098,1046598
102,00:17:26,00:17:29,落とし込み コラボ商品,2,1046611,1049631
103,00:17:29,00:17:33,10回 茹でた 顔 なかなか取り付け感があっても買う,1,1049646,1053946
104,00:17:33,00:17:35,どうせなら,2,1053970,1055550
105,00:17:35,00:17:54,プロモーション プロモーション ローソンのアレ 買いません 3個買ったら一個 クリア,1,1055566,1074686
106,00:17:54,00:17:59,,4,1074698,1079858
107,00:17:59,00:18:22,映画って言うとこれを考えると それに落とし込めそうですが 結局お金ちょう 日常系になるん,1,1079878,1102978
108,00:18:22,00:18:49,一条綺美香の件,2,1102994,1129654
109,00:18:49,00:18:57,舞台はその時代背景に溶け込ませる ってやっぱりないかな,4,1129678,1137578
110,00:18:57,00:18:58,,2,1137594,1138134
111,00:18:58,00:19:34,現在しました,2,1138134,1174394
112,00:19:34,00:19:56,現代エンジンを切ったら ほのぼの系 とか 乱交 とかもある,1,1174402,1196962
113,00:19:56,00:20:00,くれとかってどういう なんか ストーリー的な,2,1196970,1200050
114,00:20:00,00:20:04,漢字のたか,1,1200058,1204354
115,00:20:04,00:20:33,女の子が女の子達 乳房 違和感 なかったけど かばんちゃんって空いてれば 渡すね なんかよくわからんとこに放り込まれて起きたらその触るの擬人化した女の子がさおりちゃんがいてそのか ワンちゃんがどこから来たのか をサーバルちゃんが一緒に探してあげるよって言ってそっから色んなさばんなちほー とかいう 動物が住んでる 環境 たいじゃないです それをぐるぐる回って言ってって言う,1,1204354,1233190
116,00:20:33,00:20:35,その時には動物に 進化 がいっぱい,1,1233190,1235678
117,00:20:35,00:20:44,出会ってのコミュニケーションみたいなとこがメインっていうことか,2,1235702,1244282
118,00:20:44,00:21:13,人間のちょっと 知恵を貸して動物が共存できるように助けてあげたりとかしたりとかでも ダンス CM 入る前にちょうど アニメの中に出てきた動物の実際の動物園での様子みたいな映像も入ってリアルとアニメがリンクしてるのが多少あった,1,1244290,1273890
119,00:21:13,00:21:48,姉さん 気まぐれは最終巻に 生駒に鬱展開したらちょっとあって死んだかもしれないみたいな様ですけど サーバルちゃんが死んだかもしれないところ かばんちゃんが助けて変わっちゃう今度 死にかけたのを今までのアニメでずっと助けてきた動物たちが集合して助けるみたいな そういう仲間 様子を見たいなと最近アニメにありがとうって展開っていうのも 盛り込まれたのは,1,1273890,1308790
120,00:21:48,00:21:59,結構 様子が そうなると,2,1308806,1319286
121,00:21:59,00:22:08,どこでしたっけ あれたつき,0,1319294,1328414
122,00:22:08,00:22:09,何歳,4,1328434,1329834
123,00:22:09,00:22:10,,2,1329850,1330850
124,00:22:10,00:22:13,副総長,0,1330862,1333502
125,00:22:13,00:22:15,,1,1333514,1335834
126,00:22:15,00:22:18,,0,1335846,1338326
127,00:22:18,00:22:25,病院行ったけど,1,1338346,1345786
128,00:22:25,00:22:29,結構ちっちゃい子とかも受けてた,2,1345794,1349634
129,00:22:29,00:22:32,駿河精機 アーケードゲーム,1,1349650,1352610
130,00:22:32,00:22:34,,2,1352622,1354262
131,00:22:34,00:22:43,イキまくる 2 もあったし 最近 意外と打つとか,1,1354282,1363762
132,00:22:43,00:22:46,かわいそうにはないけど,2,1363770,1366450
133,00:22:46,00:22:50,内容は多分 大人が見ると苦しくなる,1,1366474,1370734
134,00:22:50,00:22:52,,2,1370742,1372222
135,00:22:52,00:22:55,もともと 深夜枠で朝の時間帯です,4,1372234,1375674
136,00:22:55,00:22:56,,0,1375682,1376982
137,00:22:57,00:23:00,なるほどなるほど,1,1377002,1380512
138,00:23:00,00:23:25,外出先や日常系 って言ったけど人気 要素としては その決めてた子は育つと思うんですけど理不尽さとか普通 要素っていうのは 最近多いのかな と単純に 同点に明るいだけだとは 裕太 君は知ってもいいけど アニメの中の人も苦しむところがあるんだなーっていうとこで共感性を狙ってる,1,1380512,1405382
139,00:23:25,00:23:35,あの時はそれも 時代背景的な,2,1405402,1415982
140,00:23:35,00:23:37,岐阜,4,1415990,1417170
141,00:23:37,00:23:40,疲れも,2,1417194,1420174
142,00:23:40,00:24:00,ID をあげるけど結局振るで言って,1,1420198,1440638
143,00:24:01,00:24:11,日常系アニメ日常アニメ 知ってます,1,1441246,1451146
144,00:24:11,00:24:13,日常 しか出てこない,4,1451162,1453822
145,00:24:13,00:24:15,,1,1453834,1455534
146,00:24:15,00:24:18,ウィンナー,0,1455558,1458218
147,00:24:18,00:24:19,落とした,4,1458230,1459290
148,00:24:19,00:24:34,なんかウインナーを橋から落としていたらみんながすごい 教室の中 入ってなんか リーゼント お腹とか見たりなんかこうこう しまくって最後に,0,1459306,1474686
149,00:24:34,00:24:36,タブ抽出して,0,1474686,1476246
150,00:24:36,00:24:37,,2,1476262,1477282
151,00:24:37,00:24:39,永遠に 3,0,1477306,1479326
152,00:24:39,00:24:40,長々やって,4,1479350,1480830
153,00:24:40,00:24:46,ちょっと 跳ねる じゃないですか あれを問われるっていう漢字にして,1,1480850,1486490
154,00:24:46,00:24:48,アウトだよ,4,1486502,1488122
155,00:24:48,00:24:55,妻帯者によくあることの 1要素だけはめちゃくちゃ オーバーに書く,1,1488142,1495142
156,00:24:55,00:24:59,何を 本当,4,1495662,1499722
157,00:24:59,00:25:04,意味わからんかったから あれめっちゃ好きでしょ,1,1499734,1504614
158,00:25:04,00:25:07,あれは 原作者が好き,4,1504626,1507806
159,00:25:07,00:25:13,小説ってどうやって書くんですか,3,1507822,1513242
160,00:25:13,00:25:15,,2,1513266,1515246
161,00:25:15,00:25:22,全部解放でなんとかなるよなんとかだよなんとかかんとかなんとかなんとか,0,1515266,1522606
162,00:25:22,00:25:31,廃棄業者も入ります,1,1522626,1531226
163,00:25:31,00:25:36,今日は2が作ってて絵がめっちゃ綺麗な,0,1531238,1536258
164,00:25:36,00:26:00,あればタワー 机の綺麗な女子高生の無駄づかい 日常系アニメ 最近 涼宮,1,1536278,1560418
165,00:26:00,00:26:09,日常になんかすごい人が来てんのに,0,1560430,1569550
166,00:26:09,00:26:11,ちょっと歯,1,1569558,1571058
167,00:26:11,00:26:17,ところがないんですかね どうなんでしょう13は手がかかる,0,1571070,1577990
168,00:26:18,00:26:21,いるような感じだったらいいかなと 廃棄 13割,1,1578010,1581550
169,00:26:21,00:26:29,なんか それこそ 1話文はご説明に使う みたいな感じで,0,1581558,1589458
170,00:26:29,00:26:34,小池絵美子 導入 DVD をしてくれる人,1,1589466,1594486
171,00:26:34,00:26:54,虫をなんとか,0,1594494,1614594
172,00:26:54,00:27:02,日常 アニメするんだったらこう 普段 過ごしてる時にどういう時にちょっと クスってきたかとかそういう自分の生活を目 返した方が,1,1614610,1622530
173,00:27:02,00:27:03,,2,1622542,1623822
174,00:27:03,00:27:11,どうすれて コラボ商品 行けるかなって ちらっと つらそうな,4,1623842,1631722
175,00:27:11,00:27:16,人気が出て ブリーダー,1,1631738,1636518
176,00:27:16,00:27:17,やることが 順序,0,1636542,1637982
177,00:27:17,00:27:18,,1,1637990,1638890
178,00:27:18,00:27:23,それ考え 絶対最初の癒し系のやつは,1,1638890,1643130
179,00:27:23,00:27:25,,4,1643146,1645186
180,00:27:25,00:27:29,気がしました 1時間がありまくるなと思って,0,1645202,1649682
181,00:27:29,00:27:31,,1,1649690,1651300
182,00:27:31,00:27:37,でも アニメで登場人物があれば一人しかいないってことでセンスの褒めてくれる人 それって はじめ,1,1651300,1657370
183,00:27:37,00:27:44,アプリでは3倍あります,0,1657378,1664838
184,00:27:44,00:27:54,スイカご飯が出てくるってのが 気分は結構なんかいいかなって思いました,2,1664850,1674410
185,00:27:54,00:28:11,でも 癒し系なんかどっちかしか入らないかな って思ってその例えば 男男性が出てくるんだったら女性が多いいるかな でも前か それは結構 工夫はいるのかな とちょっと思ったんですけど 15かけ,2,1674410,1691310
186,00:28:12,00:28:13,,2,1692106,1693606
187,00:28:13,00:28:15,LINE ダンジョン,0,1693618,1695958
188,00:28:15,00:28:18,,3,1695970,1698890
189,00:28:18,00:28:21,,0,1698898,1701458
190,00:28:21,00:28:26,今週は年上に褒められた 一周年,1,1701466,1706906
191,00:28:27,00:28:39,なんかなんかこう女子に褒められるのって それこそ友人 目線とかでもいいかなってなんか バレンタインとかだったら友人が 友チョコを作ってくれました,0,1707426,1719666
192,00:28:39,00:28:41,,1,1719674,1721694
193,00:28:41,00:28:53,動かないけどなんか結構 女性って上司に褒められるのも結構好きとかいう人もいるだろうし あとなんか それでやったら 幼馴染的な感じで,0,1721710,1733880
194,00:28:53,00:28:57,男性も取り込めるのかな わからないみたい 話し中,0,1733880,1737750
195,00:28:57,00:29:00,練習終わりそう,1,1737762,1740002
196,00:29:00,00:29:02,それで何とか,0,1740018,1742798
197,00:29:02,00:29:03,,1,1742810,1743520
198,00:29:03,00:29:08,家で自分が癒されたい時 あったから 公式のサイトから,1,1743520,1748650
199,00:29:08,00:29:16,に直してもらって入れるとこを受け取った ハイライト動画を YouTube に,0,1748658,1756738
200,00:29:17,00:29:19,,0,1757254,1759874
201,00:29:19,00:29:27,Twitter とか にちゃんと見れるの YouTube にすることで YouTube の再生回数で稼ぐ,1,1759886,1767826
202,00:29:27,00:29:43,15分かける2で男性用 女性を見たら避ける感じになりそうなんか,3,1767838,1783358
203,00:29:44,00:29:48,南西諸島,2,1784382,1788962
204,00:29:48,00:29:52,それはなんかこれ 順番は ガチャ にしといて どっちがいい,0,1788970,1792190
205,00:29:52,00:29:53,今一度,1,1792206,1793826
206,00:29:53,00:30:05,なんだよ 僕とかもそんなにいら,0,1793846,1805386
207,00:30:05,00:30:06,,2,1805394,1806454
208,00:30:06,00:30:09,来週の この辺何,1,1806470,1809030
209,00:30:09,00:30:11,可変 送り先 住所,2,1809038,1811658
210,00:30:11,00:30:12,天使の日,0,1811666,1812806
211,00:30:12,00:30:18,,1,1812826,1818806
212,00:30:18,00:30:21,出てくるのが楽しみ,3,1818830,1821730
213,00:30:21,00:30:32,めちゃめちゃ 概要だけ言っといて 詳細 レシピを後で見てもらう レシピ本で見ても,0,1821738,1832958
214,00:30:32,00:30:41,彼氏 見たかったら 斉藤を訪れないといけない レシピ の詳しいのは 公式サイトをチェック,1,1832978,1841628
215,00:30:41,00:30:43,,1,1841628,1843778
216,00:30:44,00:30:50,専門書 買取,1,1844290,1850830
217,00:30:50,00:30:57,お金が回ったら交換の人に,0,1850846,1857046
218,00:30:57,00:30:59,今回は何も言ってないから付き合って,1,1857058,1859738
219,00:30:59,00:31:09,幅広い年代の人を取り込んではない,0,1859750,1869770
220,00:31:09,00:31:16,疲れてから見れば 朝とかにされても別にまだ使えとらんしっていう時間だったら やっぱ 深夜にする,1,1869794,1876734
221,00:31:16,00:31:28,,3,1876746,1888426
222,00:31:28,00:31:31,,2,1888446,1891666
223,00:31:31,00:31:45,自然とまとめができた,0,1891686,1905326
224,00:31:45,00:31:48,一番遠いコンビ,3,1905334,1908854
225,00:31:48,00:31:51,,2,1908862,1911002
226,00:31:51,00:31:55,学生カナ コラボカフェ カフェ,1,1911014,1915954
227,00:31:55,00:31:59,全国の6歳ぐらいで行って,0,1915970,1919930
228,00:31:59,00:32:12,アニメに出てきた料理が 実際 出てきたりとかなんかそのキャラのモチーフのような があったりとかあったりとかでこのようなことなんだろうしたら行く,1,1919942,1932022
229,00:32:12,00:32:28,席の予約制にしておいて予約だよ が入るんですよ 後で予約しといた人にはているくれるとかお客が500円なのにシールを買いに予約するとかかりますか,0,1932030,1948510
230,00:32:28,00:32:33,お金を使いたい みたいな,4,1948522,1953342
231,00:32:33,00:32:38,株式投資をしている人に食べさせてまた次もいいもの作って下さい,1,1953850,1958970
232,00:32:38,00:32:51,吉塚 も見込めると,0,1958982,1971742
233,00:32:51,00:33:01,なんとか それ考えたら料理系が最後いるんだったら エプロンとか料理グッズとコラボの,1,1971766,1981706
234,00:33:02,00:33:08,なんか小倉汁とか料理 アプリがあるけど,1,1982230,1988690
235,00:33:08,00:33:11,確かに言う,0,1988710,1991170
236,00:33:11,00:33:14,できそうじゃない子にお歳暮とかありそうで,3,1991194,1994894
237,00:33:15,00:33:19,その会社 出てきたやつ 買うなら,1,1995414,1999674
238,00:33:19,00:33:26,クラシル のプレミアム会員だっけ なんか 課金システム 限定動画とか,0,1999698,2006658
239,00:33:27,00:33:30,博多南 彼氏,4,2007174,2010774
240,00:33:30,00:33:40,読み上げてくれるやつとか見ながら出てきてくれよ 声も入れといてもらっていいんですか,1,2010798,2020778
241,00:33:40,00:33:56,誰がいいですかねこの鍵さん,0,2020802,2036382
242,00:33:56,00:33:58,できたかなと,2,2036406,2038546
243,00:33:58,00:34:02,台風13号の内容を考える,1,2038558,2042118
244,00:34:02,00:34:03,黄金の絵,3,2042126,2043566
245,00:34:03,00:34:05,大工 裕子,4,2043574,2045254
246,00:34:05,00:34:06,,2,2045266,2046246
247,00:34:06,00:34:08,,0,2046266,2048266
248,00:34:08,00:34:15,お腹空いてきた時間的に,4,2048290,2055330
249,00:34:15,00:34:17,,2,2055974,2057374
250,00:34:17,00:34:19,全裸 漫画,3,2057390,2059130
251,00:34:19,00:34:21,俺は,4,2059147,2061007
252,00:34:21,00:34:22,オフレコ,0,2061013,2062833
