Order,Start time(HH:MM:SS),End time(HH:MM:SS),Text,Speaker,Start time(ms),End time(ms)
49,00:12:03,00:12:30,ようです で と あとは 僕が去年の4月に調べたことあんですけど インテンシブ イングリッシュので どうぶれ ブレグジットについて考えて強いという意識がある それを調べてきた時のちょっと 資料を見せたいんですけど これ すね,0,723339,750089
50,00:12:30,00:12:57,そうそうですね すみません 今日は 2016年の6月23日に投票が実際あったんですよ 実はこれが 離脱 派が51.89%で,0,750089,777219
51,00:12:57,00:13:26,で8 残留 派が48.11%っていうギリギリの差で離脱 派が勝ってて ここからブレグジットっていう字はどの広まってたらしいですけど手でも ですよね 再登場したのが 6月23 すね で その3日後 してね 3日後のアンケート調査によると ですね 大体 星2 が,0,777219,806489
52,00:13:26,00:13:55,あ 結構 2月は忙しいけどそのアンケート調査によると ギリギリがんリハが買ってきたから なんか 細かい話 言うと 6月23日はめっちゃくちゃ 終わるのでそれまでの 輿論調査ではありと 残留 派が優勢だっていうことはと ネットとかでも伝えられてその悪天候の中で,0,806489,835599
53,00:13:55,00:14:25,行くほど そんな深刻な状況じゃないよ っていう風に 同ジャンルは思ってたらしくてでその思ってた人達は遠い 行かなかったぞ でも離脱したいほう はもう 輿論調査で結構 古い だっての分かってるんである程度 悪天候でも投票に行ったんじゃないか っていう説が流れているほど出てさらに,0,835599,865079
54,00:14:25,00:14:41,投票後のアンケート調査で 離脱 派に投票した人で7%がもう 公開しているっていうふうに述べてるんですよでなぜかっていうと,0,865079,881099
55,00:14:41,00:15:07,もちろんどうぞの離脱 決定 って言うや 離脱 派が国民投票で有利でしたよ っていう報道が流れてその後 株がすぐ落ちた それによってやっぱり 賛成派にしとけばよかった土地は山リハにしとけばよかったっていうのが7%あった もう一つの要因としてはどう,0,881099,907419
56,00:15:07,00:15:31,残留 派だけど何だったの方のリーダーが間違えた PR をしていた事実に基づかないようなリアしたらこういうことがありますよ っていう根拠のないこと 言ってた事実が発覚して7%の人が誤解したっていうことがあるので今年2019年の,0,907419,931969
57,00:15:31,00:16:01,アンケート調査では 残留 派が48で離脱 派が38分で全然違う アンケート調査 アンケート結果が出ているっていう風なことを言ったんで 見てこれとかを踏まえて多分今メイ 首相が考えているのが 名刺は今だけは悲しいです その離脱 派の良いところと 残留 派のいいところを,0,931969,961139
58,00:16:01,00:16:03,よりどりみどりに必要なものを買う,0,961139,963969
59,00:16:03,00:16:17,CS のその中なんだろう いいとこだけ壊れていう感じになっちゃうんじゃない,1,963983,977303
60,00:16:17,00:16:19,あーもう あーしてしま,0,977315,979575
61,00:16:19,00:16:22,ジャマイカ,1,979583,982373
62,00:16:22,00:16:28,家なんかうんいながらにして自分じゃなきゃ 違うみたいなことしたらなんか スライドがない,1,982373,988583
63,00:16:28,00:16:30,,0,988591,990031
64,00:16:30,00:16:39,たぶん 眠いも難しい問題だと思うから これどっち 目線で考えるか決めた方がいい,2,990051,999031
65,00:16:39,00:16:46,途中参加でも最終的に賛成派と反対派の意見を羅列する,0,999047,1006087
66,00:16:46,00:16:49,,2,1006107,1009327
67,00:16:49,00:16:50,どうすべきか,1,1009347,1010547
68,00:16:51,00:17:12,ISO 成果 イギリス スマホから決めるのであればまたすべき ってなった時はイギリス 目線で考えるとかわかんないですけど,1,1011391,1032161
69,00:17:12,00:17:19,国民的に多分私の EU 内だとセカイイチボ ってあるなら早くして それは難しいな,1,1032161,1039791
70,00:17:19,00:17:31,さっき言ってた スノー やったっけ 設置理由 具体的にどんな,2,1039814,1051454
71,00:17:31,00:17:32,最適なので,0,1051462,1052602
72,00:17:32,00:17:33,,2,1052622,1053922
73,00:17:34,00:17:35,考えて,1,1054442,1055482
74,00:17:36,00:17:40,それがちょっと古いホール,0,1056506,1060946
75,00:17:40,00:17:42,,2,1060958,1062278
76,00:17:42,00:17:43,釣りの結果的に,0,1062290,1063870
77,00:17:43,00:17:57,メガつけて下手にはあるんでさっきに説明しよう なるべく その家も国民投票は国民の皆でできる改善したために頑張るんだ それが 役目であって,1,1063886,1077626
78,00:17:57,00:18:04,そんなことないけど 蓋を開けてみたら残留 派の方が,2,1077646,1084266
79,00:18:04,00:18:19,水は多かったので結構 めっちゃ 拮抗してるのに 今 結構 思い切った 離脱っていうのは 凝固してる感じではそう,0,1084282,1099182
80,00:18:19,00:18:26,現在の耳を取るとしたら残留の方がいらしたら,2,1099206,1106326
81,00:18:26,00:18:39,体をもらえたんすけど なんか混乱は置いとくんですけど その1月29日 先月の中に建つ予定あんの,0,1106342,1119422
82,00:18:39,00:18:52,賛成 反対 こちらは 国会で3票通った時に 621対49での離脱 協定案に,0,1119422,1132562
83,00:18:53,00:18:57,,2,1133082,1137002
84,00:18:57,00:19:03,国家の中ではもうね,0,1137022,1143982
85,00:19:04,00:19:06,,2,1144002,1146372
86,00:19:06,00:19:10,なんでその国会で国会議員が投票したってことよね 洲本,2,1146372,1150962
87,00:19:10,00:19:16,ではそうじゃあもう 別拠点 これでいいですか って言う,0,1150970,1156570
88,00:19:17,00:19:33,通ってるから マリア,0,1157094,1173484
89,00:19:33,00:19:47,ど忘れしたよね もう離脱 決定しちゃったから さやね,0,1173484,1187534
90,00:19:47,00:19:50,3月 決定した,2,1187542,1190222
91,00:19:50,00:19:51,予想される,0,1190238,1191258
92,00:19:51,00:19:58,京都してはけど今回はその離脱 決定は考えなくていいんじゃない ただ 離脱か残留する,2,1191270,1198510
93,00:19:58,00:20:03,だからそうな単語 動詞 べきか って言われると,0,1198522,1203382
94,00:20:03,00:20:07,そうなのか どうすべきだったらどうすべきか考えなきゃ,1,1203402,1207802
95,00:20:07,00:20:16,旅行 かどうすべきだったかとどうすべきか か 今後 今後どうする,2,1207810,1216990
96,00:20:17,00:20:40,どうすべきだったか に関してはもうちょっとその例えば僕が言った その経済的な重さが思っていた経済的利点が実はそうじゃなかったよ っていうのをもうちょっと 群生,0,1217006,1240506
97,00:20:40,00:20:46,さや姉さんっていうかもうちょっと考えるべきことがあった気がするよ,2,1240522,1246722
98,00:20:46,00:20:48,えりな 2の話,1,1246738,1248678
99,00:20:48,00:20:57,いつ頃から羽田 2016 速報 国民投票 2016年6月って結構,0,1248686,1257626
100,00:20:57,00:21:03,それより前から色々考えてそんな 新プラン と思いつかないのか,1,1257634,1263734
101,00:21:03,00:21:18,多分 国民の意見があれだったら離脱したいって言うけど何でそうかみたいな感じで捉えてじゃあ離脱しちゃう感じで言ったんじゃなかったっけ,2,1263746,1278806
102,00:21:19,00:21:33,空手 国民は 専門家じゃないから結構 短絡的な視点でそのこと捉えるからそういう意見が出ると思うけどそれを踏まえて 受け取るべきだったかなと思う,2,1279326,1293406
103,00:21:33,00:21:37,国影川は,2,1293406,1297006
104,00:21:37,00:21:49,国民の意見は一番 相互依存関係 剤と困っているとかのプロではない 国民が最も 何を重視するかでカッパとかのインフラってかもって言うの,1,1297018,1309698
105,00:21:50,00:22:04,病院行った後は通勤とかそういうのにかなり影響が出た これはマジに病院がなくなるとか電車が仲間になって,1,1310206,1324767
106,00:22:04,00:22:20,そういうのは同じでって考えるとはそうだから 国民が その経済的な部分まで考えてそれを包んだそうかやっぱり そんな生活で意見を出してどちらがいいのか,1,1324767,1340706
107,00:22:20,00:22:23,,2,1340718,1343298
108,00:22:23,00:22:47,ただあるよね 日だっつっていう選択肢以外にも暖かな その例えば タッキー た 病院に駆け込むとかだったらもう病院 増やせばいいだけであるとも働けても増えるからマークに全然ももクロ 電車もま 離脱 だけが 解決策ではなかったかな って,2,1343298,1367318
109,00:22:47,00:22:56,不安をもうちょっとまあでも提案するというのはちょっとそういう部分を考えて,1,1367334,1376614
110,00:22:57,00:23:04,,1,1377158,1384418
111,00:23:05,00:23:15,まあなんか俺も調べた限りだとイギリスらしさが取り戻したかったみたい,2,1385070,1395790
112,00:23:15,00:23:27,移民 イギリスらしさ 貿易的な頭 シンプルに EU に出資が多いのにリターンはない,1,1395810,1407930
113,00:23:27,00:23:34,それなんすよね やっぱりとっと 国がまとまる,2,1407950,1414250
114,00:23:34,00:23:43,村を大きくなればなるほど まとめるのは難しいと思うよね やっぱり ママにも買ったんだ,2,1414250,1423930
115,00:23:43,00:23:52,右 スラッシュ 整え キット,0,1423938,1432558
116,00:23:52,00:23:53,イギリス,0,1432558,1433798
117,00:23:53,00:24:01,受験資格なし,1,1433822,1441022
118,00:24:01,00:24:03,白熱しちゃった,2,1441030,1443870
119,00:24:03,00:24:21,,1,1443882,1461642
120,00:24:21,00:25:21,イギリスらしさ と 他の加盟国の埋め合わせが誰かったっていうところ,0,1461662,1521632
121,00:25:21,00:25:25,,0,1521632,1525642
122,00:25:25,00:25:45,ギリシャの高速をはほとんど イギリス語を出したのかね イギリス ドイツの いつ帰ってくる前 禁止 に交換できても イギリスやドイツは何も嬉しくないようなことが 色々あったんでしょうね それやったらもう,1,1525654,1545944
123,00:25:45,00:25:58,GDP 的にも割と大きな国で全滅できる子 みたいな感じで独立してやってけない国だけが集まったらできるようになるもの,1,1545944,1558754
124,00:25:59,00:26:07,細胞の中にいるにすぎない 今でもそれは気になってしまう イエスはどうする,1,1559278,1567318
125,00:26:07,00:26:11,難しいね,2,1567326,1571166
126,00:26:11,00:26:12,,1,1571190,1572580
127,00:26:12,00:26:36,着いたのは素直に考えただけ 離脱したほうが えっとなんかその 今何か何か物事を起こす時には消極的な理由と積極的な理由があるんで なんかその時には反対派は結構をその なんか これが起こると嫌だから離脱しないで仲間に消極的な,1,1572580,1596090
128,00:26:36,00:26:41,3は割となんか 積極的な理由は,1,1596902,1601432
129,00:26:41,00:27:09,簡易検査と多い みたいな 妄想に見えましたけど なんかその イギリスされた を確実にやっぱり 離脱することでは取り戻す しやすくなるでしょうし 貿易 も 授業なんかまともにはならなかったみたいなしまったとはいえ 自分の手で決めれるっていう理由でその決めないといけないみたいな その あの なんか なにイギリスに輸入しようか どこにいるでしょう まずいった理由で決めないといけないみたいな,1,1601432,1629917
130,00:27:09,00:27:36,そういうのがあるっていう状況だとやっぱり そのイギリス人にも行ってしまうっていうのは それは全然だから積極的な理由だと思いま 経済経済はちょっと食欲はあるかもしれんですけどその中にさなんか作られてもあんまり意味ないよねって言うからは自分たちで変わるかもしないで使われている理由は に出すには多いのかな,1,1629917,1656782
131,00:27:36,00:27:52,いい感じがしたけどね 残留 派のメリットとしては,0,1656790,1672910
132,00:27:52,00:27:57,今まで通り,0,1672910,1677990
133,00:27:58,00:28:05,東京のもう シャッター 関税がないっていうビジネスがやりやすいということ とまゆみ,2,1678010,1685130
134,00:28:05,00:28:15,夜働きて送信可能性は 協定結んじゃえばいいじゃんみたいな話がありましたって,1,1685146,1695866
135,00:28:15,00:28:21,全く,2,1695878,1701288
136,00:28:21,00:28:47,話変わりますけど イギリスが EU 離脱 ではなくて ギリシャが EU 離脱の方が確かにあれ なんすよね 例えるなら 大きい会社だと思うよね でそんな彼に 部門ごとのイギリス フランス 部門,2,1701288,1727248
137,00:28:47,00:28:52,その履歴がとれないところを会社はどんどん,2,1727248,1732018
138,00:28:52,00:28:54,隠していくじゃないですか 大体,1,1732042,1734842
139,00:28:54,00:29:14,つい考えたら 今回はギリシャ だったっていう自分の中で思ってますけどね イギリスではなく雨ですがもう決めちゃったんではどうすべきだったかな どうすべきだとかどうすべきだった かって考えると,2,1734854,1754494
140,00:29:14,00:29:18,あれか 僕的にはイギリスは残ってきちゃっ すべき,2,1754494,1758214
141,00:29:18,00:29:22,イギリスに渡っていけないんですよ,1,1758238,1762018
142,00:29:22,00:29:24,イギリスはどうすべきだった,1,1762754,1764374
143,00:29:24,00:29:27,なんとかとかとかとか感想,2,1764382,1767022
144,00:29:27,00:29:29,,1,1767042,1769022
145,00:29:29,00:29:30,,2,1769042,1770942
146,00:29:30,00:29:31,LINE を退会させ,0,1770958,1771978
147,00:29:31,00:29:33,,2,1771990,1773510
148,00:29:33,00:29:34,,0,1773522,1774502
149,00:29:34,00:29:36,,1,1774522,1776002
150,00:29:36,00:29:39,自分でも嫌だったら,1,1776522,1779002
151,00:29:39,00:29:51,外だ それは確かに早く会いましょうね,2,1779022,1791202
152,00:29:51,00:29:54,寝ちゃったか また なんか,1,1791214,1794614
153,00:29:54,00:29:57,意味がなかった,2,1794622,1797062
154,00:29:57,00:30:02,なんか 僕的やっぱ 国民に従うって何,1,1797070,1802970
155,00:30:02,00:30:15,西五反田のかなって思っちゃってるよ 何か買ってこようとして出ちゃったからそれを 国民の意見に従うっていう風に沿ったのはもう別れちゃったよ なんか,0,1802978,1815518
156,00:30:15,00:30:26,何でしまった って何か色々言うのは簡単ですが登場した国民の意見に素直に従って粛々とやることを 政府は,1,1815534,1826414
157,00:30:26,00:30:27,,2,1826430,1827430
158,00:30:27,00:30:34,それが一番 説明不足でするやつだと言うのであれば,1,1827442,1834382
159,00:30:34,00:30:36,北のアジト,0,1834406,1836486
160,00:30:36,00:30:40,寝不足 が間違いなくありそうってこと,1,1836494,1840114
161,00:30:40,00:30:43,,0,1840126,1843326
162,00:30:43,00:30:44,徳川,1,1843334,1844474
163,00:30:44,00:31:13,塾の関税をイギリスが自由に設定できるんじゃないっていう 2点があったと思われてたのに実は色々 自由貿易 とかやって言うとかの立場を考えると 局 関税はかなり高いものになってしまうっていう 離脱すると,0,1844494,1873564
164,00:31:13,00:31:38,自分で何とかって来るって言ってもあるけど経済的にはかなり感じを受けられるようになるよ っていう風に説明するべきだったのかなわけだからそれこそ地元の電車とかの運賃 も少しは上がるかもよ っていう風なそういう風な予測,0,1873564,1898114
165,00:31:38,00:31:59,そうやね 確かにこれ 賛成と言うか どうすべきだった かって考えたら多分そうだったとかなと思うけど,2,1898130,1919430
166,00:31:59,00:32:07,わりとどうすべきやったか はこれが まず 国民年金にしたけども安定した上で もう少し説明や,1,1919454,1927574
167,00:32:07,00:32:09,考えを巡らす,1,1927574,1929234
168,00:32:09,00:32:25,今日どうすべきだったかそういう意見に行くかい,2,1929254,1945434
169,00:32:25,00:32:31,どうして見ている もう2だかも決定したものとして,0,1945450,1951990
170,00:32:32,00:32:50,透析 束ね 起こりうる問題が起きないようにして行く ご飯 何食べればその感じであれば協定を結んで行こう,1,1952006,1970296
171,00:32:50,00:32:56,漢字がかかっちゃってかかっちゃうね じゃあ今日頑張ってくるとか,1,1970296,1976466
172,00:32:56,00:33:09,屋根 メリットをよりかは デメリットを少なくしていくほうが個人的にはだけどうん いいかなというリスクを少なく,2,1976486,1989306
173,00:33:09,00:33:10,ダンス 5,2,1989306,1990766
174,00:33:10,00:33:18,残留 派の搬送 北アイルランド問題も来年再発するかも,0,1990786,1998726
175,00:33:18,00:33:27,ごめん今どういう意見が出てきたいる,2,1998746,2007006
176,00:33:27,00:33:44,辞めた時の離脱したら国境がも引かれるね アイルランドは家に入ってて家出しちゃったからしなきゃいけないって その やっぱりここからの論理が確かに,0,2007030,2024770
177,00:33:44,00:34:00,ちゃんと書いてなかったんですけど なぜ 国境が引かれると仲が悪くなるかまぁ確かになんか 僕の感覚としてはシンプルに 北朝鮮と韓国の関係,0,2024770,2040030
178,00:34:00,00:34:08,あってそこ 連絡させましたけど外島国に住んどるけわからんよね そこら辺,2,2040050,2048370
179,00:34:08,00:34:11,日本と北日本で分割されたら,1,2048386,2051026
180,00:34:11,00:34:12,,2,2051046,2052126
181,00:34:12,00:34:16,今んとこ 全然仲いいから 多分大丈夫,0,2052143,2056243
182,00:34:16,00:34:17,,2,2056264,2057024
183,00:34:17,00:34:19,坂本から 仲悪い ってなると,2,2057024,2059964
184,00:34:19,00:34:23,目が悪くなって本当に目に見える形 抜擢,0,2059981,2063821
185,00:34:23,00:34:27,,2,2063844,2067424
186,00:34:27,00:34:31,疲れると仲が悪くなるとゆうりは仲が悪いからどう行くの,1,2067431,2071931
187,00:34:31,00:34:33,悪のスパイラル,0,2071942,2073742
188,00:34:33,00:34:34,,1,2073763,2074743
189,00:34:34,00:34:38,誰となって より関係が悪くなるんじゃないか,2,2074763,2078423
190,00:34:38,00:34:50,氷もなくなるまで パスポート いるんだったら いらなかったのに必要になってくると 人通りがその人の視界,0,2078434,2090694
191,00:34:50,00:35:20,少なくなるんじゃないすかね でもまあそれはもう時間をかけて直していくしかないんじゃないかな もう今の日本と韓国みたいな感じなんじゃないかね 時間をかけて 旅行先 とかになるぐらいお金 それは しゃー,2,2090714,2120424
192,00:35:20,00:35:22,なくない,2,2120424,2122694
193,00:35:22,00:35:27,谷中 北アイルランド問題が難化 再発は果たして,1,2122712,2127692
194,00:35:27,00:35:30,,2,2127704,2130644
195,00:35:30,00:35:38,なんか 山寿司でになるんだったら 成り行きに任せるのも一つの手なのかみたいな,1,2130664,2138984
196,00:35:39,00:35:42,アイルランド そんな言っちゃ悪いけど 希望,2,2139004,2142624
197,00:35:42,00:35:53,大きくないでしょ って思ってたんですけど行かない 首相が ベルベットよりも優先するほどで読めると そんな大事なんだ,0,2142648,2153018
198,00:35:53,00:35:53,,0,2153018,2153608
199,00:35:53,00:36:01,いやーいやあれだよね全てを助けようとすると どっちつが,2,2153620,2161940
200,00:36:01,00:36:25,慣れた本だけどね あの株価が下がると株価が下がるにつれてきました,0,2161956,2185696
201,00:36:25,00:36:27,買ってあげない,1,2185704,2187104
202,00:36:27,00:36:36,できないんだよ 多分ね なんか おやつ しちゃったらもう EU っていう肩書きがあって 信用が落ちる,0,2187120,2196080
203,00:36:36,00:36:42,金曜 落ちるんかなやらない自信がありそうだから,1,2196096,2202936
204,00:36:42,00:36:55,家の後ろ盾を失ったからちょっと なあ 他にも要因あると思いますけど,0,2202960,2215320
205,00:36:55,00:36:57,本の絵,0,2215320,2217060
206,00:36:57,00:37:16,まあ 最悪 日本と同じでその国の中央銀行がイギリスの下がった 群を買っていくとま 今度やつは防げる は何,2,2217068,2236528
207,00:37:16,00:37:23,今夜 洗濯室を何とかすれば安心できるのは そんなないのでいいですね,1,2236540,2243580
208,00:37:23,00:37:27,ポンド 安値 動かないかな,2,2243604,2247484
209,00:37:27,00:37:30,安い時に,1,2247492,2250052
210,00:37:30,00:37:38,想像するのが楽になるね,2,2250060,2258660
211,00:37:38,00:37:51,ちょっとあれかな 問題 考えるか 離脱した時の問題アイル 問題で今度やすま 貿易,2,2258660,2271180
212,00:37:51,00:38:01,と金融の中心にならなくなるってのはありますですがそもそもなんか信用がないとこになんか 金融の注射を,1,2271188,2281878
213,00:38:01,00:38:22,できない なしでもともと いい選手があったので 割と 世界規模金融の中心があったんですがそこはもう中止にならないって本当に全然経済と金融が分からないですけどまぁ確かに 中心だったのがなくなるのは嫌だろう,1,2281878,2302068
214,00:38:22,00:38:24,まあ そうか,2,2302092,2304352
215,00:38:24,00:38:29,国 国民的には,1,2304372,2309372
216,00:38:29,00:38:40,金融コード 埼玉りそな 金融は体にいいのか,1,2309372,2320452
217,00:38:40,00:38:43,そうするとか困ってるじゃないかな,2,2320464,2323304
218,00:38:43,00:38:47,ア**とジャポンのやつにならんようにすればいいんですか,1,2323316,2327456
219,00:38:47,00:38:50,まあそうやね,2,2327480,2330840
220,00:38:50,00:39:00,なんかならない 勝手に送ってく 別にイギリスに決められるもの イギリス の努力,1,2330856,2340096
221,00:39:00,00:39:01,努力,0,2340112,2341592
222,00:39:01,00:39:02,所 ペナント,2,2341612,2342852
223,00:39:02,00:39:04,,1,2342868,2344848
224,00:39:04,00:39:07,今日頑張れば,0,2344860,2347600
225,00:39:07,00:39:10,ということはちゃん 輸出できるような産業を作ればいい,1,2347620,2350900
226,00:39:10,00:39:16,うん 俺も今それこそイリスに,0,2350920,2356420
