Order,Start time(HH:MM:SS),End time(HH:MM:SS),Text,Speaker,Start time(ms),End time(ms)
97,00:19:51,00:19:54,その結果って時間決まって,1,1191772,1194792
98,00:19:55,00:19:57,外に出てった子,1,1195700,1197440
99,00:19:57,00:20:09,この時間 何曜日は地域の高齢者と遊ぶ時間とかでもいいのかな と思ったけど幼稚園生 ってできる遊び 限られる,1,1197956,1209936
100,00:20:09,00:20:17,何をやったかいね,2,1209944,1217104
101,00:20:17,00:20:21,苦しかっ 記憶がないという服の記憶,0,1217120,1221300
102,00:20:21,00:20:23,,2,1221308,1223568
103,00:20:23,00:20:26,泥団子,0,1223588,1226388
104,00:20:26,00:20:38,鉄棒 ジャングルジムはんこ,2,1226412,1238672
105,00:20:38,00:20:54,鬼ごっことかやっちゃうとね よく抵抗できません 高齢者向けて みんな どっかわかんないとこに入って,0,1238696,1254916
106,00:20:54,00:21:21,難しいよね なんかウォーキングとかをもうちょっとしやすく いま 自転車 安いけどな 大きめ,2,1254932,1281232
107,00:21:21,00:21:40,運動はね なんか 既に出されとるような案に集約しそうなんだよね,2,1281232,1300732
108,00:21:40,00:21:42,,0,1300748,1302738
109,00:21:42,00:21:57,ちょっと 視点変えるんですけど じいちゃんとかおばあちゃんとかなんでそういうこと言うとね あんまりあれなかったよ あれなんですけどと孫が一緒にスポーツクラブに来た時に,0,1302738,1317328
110,00:21:57,00:22:03,そっち系になるほど運動でも来ない子,2,1317352,1323642
111,00:22:03,00:22:28,9の孫まごせてね そうやね,2,1323642,1348412
112,00:22:28,00:22:32,スイミング 水中ウォーキングとか,1,1348432,1352512
113,00:22:33,00:22:41,それこそ あのプールがついてる温泉とかだったら 生きやすくないですか,0,1353420,1361300
114,00:22:41,00:22:46,そんなプールあると取りには合わなかった,2,1361308,1366508
115,00:22:46,00:22:47,,0,1366528,1367608
116,00:22:47,00:22:50,いいというところ 誰,2,1367624,1370264
117,00:22:50,00:22:52,,2,1370904,1372164
118,00:22:52,00:22:55,岩岳 適当に打ってます 私は,0,1372172,1375832
119,00:22:55,00:23:10,温泉 音声じゃなくても 王様 苦労しないおっぱい,2,1375848,1390508
120,00:23:10,00:23:15,老人の方はあのあれです あの手を洗わない 一つ,0,1390532,1395492
121,00:23:15,00:23:17,,2,1395516,1397976
122,00:23:17,00:23:22,晴花と温水プールは関係ないですけど,0,1397988,1402628
123,00:23:22,00:23:27,心臓がちょっと危ないかな,2,1402652,1407112
124,00:23:27,00:23:32,アイマス 伊都の湯どころ えっと 温浴 プール 1750円,0,1407136,1412616
125,00:23:33,00:23:37,1750 温浴 プール フィットネス 2880円,0,1413140,1417380
126,00:23:37,00:23:41,,2,1417396,1421116
127,00:23:41,00:23:45,分かった後スタジオ プール レッスン1レッスン800,0,1421128,1425148
128,00:23:45,00:23:56,50円 とこありません なんかそのスポーツクラブがあるの知っとるわ セットの財源はどこから,2,1425164,1436324
129,00:23:56,00:24:02,そうなんですよでママがいない お年寄りはどうするの,1,1436332,1442272
130,00:24:02,00:24:04,,2,1442280,1444360
131,00:24:04,00:24:11,そうなんですよ それが問題なのと孫だとか言い張ってなんかロリコンの人が変なことしだしたら大変,0,1444376,1451556
132,00:24:11,00:24:15,,2,1451564,1455944
133,00:24:15,00:24:17,ではない,1,1455960,1457940
134,00:24:17,00:24:21,大作 ではないと思うよ 大丈夫,2,1457960,1461300
135,00:24:21,00:24:34,家の近くの幼稚園 プールの着替え 全部 外でやってて,0,1461324,1474564
136,00:24:35,00:24:37,見えてるから,0,1475076,1477856
137,00:24:38,00:24:40,私に ロリコンがきたらどうしよう,0,1478600,1480940
138,00:24:40,00:24:41,,2,1480952,1481932
139,00:24:41,00:25:01,シネマなかま 5じゃなくてもいいんですけど 安全面 からして 孫がいいんだろう,0,1481952,1501092
140,00:25:01,00:25:04,私かな,1,1501108,1504621
141,00:25:04,00:25:31,水を返してもらってどこの誰って分かるようにしてもらう,1,1504621,1531408
142,00:25:31,00:25:38,そうか じゃあ 家の中で 昔遊びを教えるとなる本,2,1531428,1538923
143,00:25:38,00:26:06,なんかね 今介護士が足らないっていうもんだよ その老人とかで補えたらいいかもね 何だっけ 昨日 昔遊びとか教える でもいいし そしたら そのぶん 介護士が若干 負担 減る かなうんなんかね あの幼稚園とか見てるとなんか何,2,1538923,1566120
144,00:26:06,00:26:34,幼稚園から出てウォーキングしましょうみたいなやつあるけど幼稚園生 10人ぐらいに対して34人の なんか 介護士 介護士 じゃねーか保育園 市丸 一力ないが それをもうちょっと減らしたいこともあるし 一人さえ守れば大丈夫だと思うよ だとさんよ 3人ぐらいの老人で囲む,2,1566120,1594976
145,00:26:34,00:27:19,幼稚園で決める,2,1594976,1639628
146,00:27:19,00:27:25,幼稚園 保育園の保育園 認定こども園ですね,0,1639652,1645832
147,00:27:25,00:27:44,いいな飛行ににしとこ,2,1645856,1664076
148,00:27:44,00:27:47,元気な人 意味ですもんね,0,1664084,1667784
149,00:27:47,00:27:55,話ししてきますけど体のパワーが湧いてくるんだっていう方いらっしゃいません,1,1667804,1675244
150,00:27:55,00:27:57,という方が握手された時に 俺,0,1675256,1677856
151,00:27:57,00:27:59,,2,1677876,1679376
152,00:27:59,00:28:01,福間駅 肉寿司,0,1679388,1681748
153,00:28:01,00:28:17,学力 相関,2,1681772,1697672
154,00:28:17,00:28:39,共寝,1,1697688,1719608
155,00:28:39,00:28:48,優先的にボランティアセンターとかであれします,0,1719632,1728152
156,00:28:48,00:28:50,きや センターってのがあるの,2,1728160,1730660
157,00:28:50,00:28:57,まるは 中にあります 福岡 はとにかく気になるのかは知らないです,0,1730684,1737384
158,00:28:57,00:28:57,,0,1737384,1737704
159,00:28:57,00:29:00,ボランティアできますよ みたいな,2,1737728,1740808
160,00:29:00,00:29:04,そこに連絡先書いといて電話切ったら,0,1740816,1744836
161,00:29:04,00:29:07,それは無償,2,1744852,1747832
162,00:29:07,00:29:08,交通費,0,1747844,1748824
163,00:29:08,00:29:11,かけます お通夜も,2,1748844,1751004
164,00:29:11,00:29:16,くるっていう人もいますしできたらくれっていう人もいません いらないよって言ったけど,0,1751028,1756328
165,00:29:16,00:29:23,すごいね そんなあるんよ ただこういうボランティアセンターともうちょっと 俺も知らんかったしさ,2,1756352,1763052
166,00:29:23,00:29:27,私が入ってるから知ってる,0,1763060,1767000
167,00:29:27,00:29:28,,1,1767012,1768082
168,00:29:28,00:29:38,ちょっと違いますけど シルバー人材センターとかで案内する仕事ではないんであれですけど こういうキャンペーンがやってるんですけど,1,1768082,1778912
169,00:29:38,00:29:41,登録してみませんか,2,1778936,1781076
170,00:29:41,00:29:42,,1,1781100,1782440
171,00:29:42,00:29:50,そういう 元気な方ってね,2,1782452,1790872
172,00:29:50,00:29:53,マルカになってしまう,1,1790884,1793544
173,00:29:54,00:29:59,多分その65か69か2.2パー ということを考えると,0,1794068,1799938
174,00:29:59,00:30:05,5074から74.9パーのこっからのあかりの英語,0,1799938,1805628
175,00:30:05,00:30:30,そうかそうかそうか それそれの予防にもなるし 元気だくん やらせといてもいいか シルバー人材センター なんかその老人ホーム,2,1805644,1830304
176,00:30:30,00:30:38,違うか お年寄りが安く 色々してくれる,1,1830316,1838116
177,00:30:38,00:30:40,どうだっけ,0,1838140,1840100
178,00:30:40,00:30:44,ただ普通に業者に頼むよりは安く いろんな,1,1840112,1844672
179,00:30:44,00:30:48,なんか仕事してくれるんであれ 賃金,0,1844696,1848716
180,00:30:48,00:30:56,嵐に会いたい,2,1848736,1856336
181,00:30:56,00:31:08,お母さん これから六十歳以上で健康で働く意欲をお持ちのあなた,0,1856356,1868376
182,00:31:08,00:31:26,仕事辞めて 時間持て余してる 元気なお年寄りとかだと思いますが 家庭教師,1,1868388,1886648
183,00:31:27,00:31:28,,0,1887172,1888192
184,00:31:29,00:31:32,あの先生 すごい,0,1889036,1892836
185,00:31:32,00:31:47,草刈りとか家事代行サービスにね 確かにありますし,1,1892852,1907472
186,00:31:47,00:31:50,これめっちゃすごいいいの,0,1907484,1910824
187,00:31:50,00:31:53,俺たちはまだ早い,2,1910840,1913680
188,00:31:53,00:31:56,いや違いますよ やろうかなって,0,1913692,1916732
189,00:31:56,00:31:57,,2,1916748,1917728
190,00:31:57,00:31:58,来てもらおうか,0,1917748,1918868
191,00:31:58,00:32:03,そんな良い人材がいたんや,2,1918876,1923416
192,00:32:03,00:32:06,結構 いろんなこと言って,1,1923424,1926284
193,00:32:06,00:32:12,あーでも そっか お金 低い,0,1926300,1932360
194,00:32:12,00:32:17,なかよし 住宅 普通に業者とかにさんがいる,1,1932384,1937424
195,00:32:17,00:32:19,あーなるほどね,2,1937448,1939788
196,00:32:19,00:32:27,風呂だけど お仕事してる方とかするんだからだけどさ うん そこの保証は,1,1939812,1947612
197,00:32:27,00:32:35,そこまでされてないのかな って感じです 家事代行とかそこら辺もできるとすげー,2,1947632,1955612
198,00:32:36,00:32:44,みんなでボード,2,1956608,1964308
199,00:32:44,00:32:55,でも 配分金が安いんだ やっぱり 安い から 配分 きって あれ あの賃金 みたいなもんで 最低賃金を下回ることもある,0,1964316,1975056
200,00:32:55,00:33:00,多分こういうとこに行ってる方って何か,1,1975080,1980940
201,00:33:00,00:33:03,本当によ,0,1980964,1983144
202,00:33:03,00:33:11,なんか世の中の役に立つ大ダメージが勝手なイメージですけどあるんで,1,1983160,1991820
203,00:33:11,00:33:19,この保育園に派遣するのは 優勝 文章,2,1991828,1999008
204,00:33:19,00:33:25,なんか優勝にしちゃうとなお金無償 交通費,0,1999020,2005940
205,00:33:25,00:33:30,電話,1,2005960,2010840
206,00:33:30,00:33:35,そうよね なんか保育園の負担は,2,2010864,2015864
207,00:33:35,00:33:50,増やしたくないよねあ 続けてくれた人に何かあげるよとかあったら,0,2015872,2030452
208,00:33:50,00:33:53,なるほど,2,2030468,2033608
209,00:33:53,00:34:01,裏切られたんで余計に涙が出てくるやつやと思うけども それ,2,2033608,2041048
210,00:34:01,00:34:02,,1,2041056,2042036
211,00:34:02,00:34:07,喜ぶと思うよ でもそれは俺が見てるだけだけど,2,2042056,2047136
212,00:34:07,00:34:10,お手紙とかのメダルと 歌,0,2047156,2050796
213,00:34:10,00:34:13,家も涙出てきます,2,2050819,2053179
214,00:34:13,00:34:21,この近くに住んでない子供とかはそういうお年寄りとふれあい,1,2053203,2061843
215,00:34:21,00:34:30,じゃないのか なんかなんかお年寄りにも,0,2061856,2070716
216,00:34:30,00:34:35,原子はいるかなとは思いますが でも面接とか,2,2070725,2075565
217,00:34:35,00:34:38,お父さんお母さん 手がない,0,2075573,2078353
218,00:34:38,00:34:48,もっとあるよね あの やっぱり 親の許可をもらいたいところではあるけどそのこの日にこの時間,2,2078373,2088913
219,00:34:48,00:34:56,ニコニコ とします,0,2088921,2096341
220,00:34:56,00:35:04,松尾 人数によるけど そうやね 確かにそこら辺の配慮は必要かな,2,2096350,2104710
221,00:35:04,00:35:06,ステレオタイプだけ 植え付け,0,2104727,2106027
222,00:35:06,00:35:09,ってことは何か,1,2106047,2109687
223,00:35:09,00:35:13,何言ってんの あんたそんなことやったら結婚できない 焼肉,0,2109711,2113971
224,00:35:13,00:35:14,,2,2113991,2114971
225,00:35:15,00:35:17,親もできんですからね,1,2115491,2117671
226,00:35:17,00:35:20,それはもう追放です,2,2117695,2120175
227,00:35:20,00:35:22,絶対いいじゃないですか,0,2120187,2122887
228,00:35:22,00:35:36,なんか頭に入って悪意なくそういうこと言っていません嘘に違和感もなく 普通に誰も当然かのように,1,2122903,2136803
229,00:35:36,00:35:42,全く知らない人からそんなやったら結婚できるとか言われて,0,2136811,2142051
230,00:35:42,00:35:45,,2,2142071,2145631
231,00:35:46,00:35:52,使いますよね 何なんでしょうね,1,2146427,2152867
232,00:35:52,00:36:12,うんこの画像まとめ はやりたい人,2,2152875,2172055
233,00:36:12,00:36:13,,0,2172079,2173219
234,00:36:13,00:36:14,,2,2173239,2174479
235,00:36:14,00:36:16,ありがとう先生,1,2174995,2176675
236,00:36:16,00:36:36,おはよう 嬉しい もんですかね,0,2176687,2196307
237,00:36:36,00:36:44,保育園の年齢だったらなんか見知らぬ人を嬉しくない,2,2196331,2204671
238,00:36:44,00:36:51,可能性があるかもしれないけど教えたから すごい,1,2204683,2211963
239,00:36:51,00:37:04,満年齢は気にしてないよね,2,2211987,2224107
240,00:37:04,00:37:09,運動不足や 人と触れ合う,0,2224127,2229927
241,00:37:10,00:37:27,造 そもそも 認知症の抑制に,0,2230543,2247683
242,00:37:27,00:37:54,もし 煮詰めるか幼稚園まで,1,2247691,2274871
243,00:37:54,00:38:06,地元で保育園は幼稚園に行ける人は そもそも 暴行 鳥海 だからすぐ帰るじゃないですか,0,2274883,2286043
244,00:38:06,00:38:07,幽霊会,1,2286059,2287419
245,00:38:07,00:38:08,何しに行った,0,2287443,2288723
246,00:38:08,00:38:10,,2,2288731,2290771
247,00:38:10,00:38:24,幼稚園でも 附属幼稚園とかだったらもう,0,2290795,2304195
248,00:38:24,00:38:34,特殊な 付属幼稚園でも入る時がでるとるけんねの秒針 音,2,2304207,2314527
249,00:38:34,00:38:36,見るとかっこいい,0,2314539,2316099
250,00:38:36,00:38:54,将来考えたらママがちっちゃい家に通った方が頭良くなるらしい てんね3歳の家に着くか言っといた方がいいらしい,2,2316115,2334695
251,00:38:54,00:38:55,何するんです,0,2334719,2335959
252,00:38:55,00:38:58,俺もそれはもうね,2,2335975,2338895
253,00:38:58,00:39:10,シルバー人材センターに積極的に登録させるような何か もあったらいいですね 今ちょっと,0,2338915,2350475
254,00:39:10,00:39:13,シルバー人材センターでも優勝になるのね,2,2350499,2353249
255,00:39:13,00:39:13,,2,2353249,2353339
256,00:39:13,00:39:30,シルバーセンターの三色じゃないなんか1回食べてもいいですね 案内をしてもらってたけどもいいのかな とかそういう部門として なんかシルバー人材センターに作ってもらう,1,2353363,2370903
257,00:39:30,00:39:53,シルバー人材センター ボランティアみたいなことにします 一応 なんか 剣とかを通しておくと間違いがない 確かにいいもんとかの逆パターン っていいかも,0,2370923,2393373
258,00:39:53,00:40:00,保育園 すごい名前ですね,0,2393373,2400343
259,00:40:01,00:40:02,,2,2401155,2402635
260,00:40:02,00:40:05,,0,2402655,2405135
261,00:40:05,00:40:06,,2,2405155,2406195
262,00:40:06,00:40:08,,1,2406219,2408119
263,00:40:08,00:40:15,壁画 ってことはなかったけど そうやな確かに 何がいいって言われても,2,2408135,2415585
264,00:40:15,00:40:17,いわ幼稚園とかがそんな,2,2415585,2417615
265,00:40:17,00:40:22,それこそ 育成とかでもいい,0,2417623,2422123
266,00:40:22,00:40:26,なるほど,2,2422131,2426891
267,00:40:26,00:40:28,,1,2426915,2428935
268,00:40:28,00:40:33,幼稚園の子の方が一般的に 溝 高いと会話,0,2428951,2433231
269,00:40:33,00:40:49,いいじゃないですか やっぱり ひんやり えって言われたからですか だったとしてもパートですか 急いでもいいんじゃない,1,2433243,2449523
270,00:40:49,00:40:56,私保育園出身なんでなんかすごい家の人と一緒にされてめっちゃ食べちゃった,0,2449547,2456247
271,00:40:56,00:40:57,,2,2456267,2457247
272,00:40:57,00:41:00,一緒にするのか 小学校の教師みたい,0,2457799,2460439
273,00:41:00,00:41:03,,0,2460959,2463419
274,00:41:03,00:41:09,すごいなあ 小1からそういう事に気づけるとは,2,2463439,2469419
275,00:41:09,00:41:10,,0,2469431,2470851
276,00:41:10,00:41:14,10だったんで 前に使ってた,1,2470859,2474839
277,00:41:14,00:41:20,両方入っとったけどなんかあんま 違い,2,2474855,2480295
278,00:41:20,00:41:25,保育園なんだ私 26時まで 1階 一人 遊んで,0,2480307,2485887
279,00:41:25,00:42:37,,2,2485911,2557611
280,00:42:37,00:42:42,腰ですよね いいです 幼稚園でも保育士ですよね,0,2557619,2562479
281,00:42:42,00:42:45,,1,2562991,2565151
