Order,Text,,
70,やっぱり時代背景を…今の時代に合ってる物っていう、そのポイントがきっちり抑えられたらいいなと思って,,
71,なんか、最初AIとか思いついたんですけど、昔からありがちだなぁと思って、,,
72,そこら辺はちょっとなしにして、ちょっと思いついたのが、,,
73,「はたらく細胞」ってみんなご存知ですかね？,,
74,うんうん。,,
75,うんうん。,,
76,あのー結構、なんて言う、なんかマクロファージとかそこら辺の好中球とか,,
77,そこら辺を擬人化して、体の中の、なんていう、インフルエンザウイルスとかに対抗するみたいな,,
78,そういう方面からのアクション漫画みたいな。,,
79,そういうの結構面白いなと思ってて。,,
80,なんか漫画の中でも、めちゃくちゃなんか、生物学科ですかみたいな感じの結構詳しい解説とかも,,
81,あるので、それが売れてるのがちょっと僕としては意外で。,,
82,そういう真面目なものが売れるためには、そういうアクション取り入れたりとか,,
83,擬人化するっていうポイントが大事なんかなあと思って、,,
84,じゃあなんか…僕のちょっと、興味分野と絡めて、環境問題を、その、,,
85,インフルエンザウイルスとかそこら辺に置き換えて、,,
86,擬人化できたらいいなと思ったんですけど、,,
87,なんか、細胞と違うところが、自然っていろんな動物とか植物とか,,
88,ファクターがありすぎて、一律にキャラ…擬人化するのはむずいなと思って、,,
89,もう、なんて言う…シンプルに問題解決、環境問題解決のプロが主人公で,,
90,世界各国を飛び回ってなんか全部解決しました、みたいなそういうのでもいいのかなと思っています。,,
91,なんか大体…なんていう、はたらく細胞もですし、大体刑事ものとかも共通してるのが,,
92,結局最後は秩序は守られるっていう、そういうポイントを重要視するんだったら、,,
93,なんか、行く先々で問題解決しちゃいました、砂漠化問題解決しちゃいました、とか,,
94,で、最新の結構お固い解決策をおもしろおかしくできたら,,
95,ちょっとは話題にはなるのかなと思いました。ぐらいです。,,
96,はい。えっと自分も、最初売り上げ考えた時にどこを狙うかって考えたら、,,
97,まあ20代とかその辺の、お金持ってる層を狙うのだとしたら,,
98,やっぱり深夜枠のアニメかなって思ったんですけど、,,
99,それよりはやっぱり、その、最近アニメがなんとなくきてるというか、受け入れられてるようにも感じるので、,,
100,それだったらそれに対応して、よりライト層というか、若い層で…20代よりも,,
101,さらに若い10代とかファミリーで受け入れられてもらえるような,,
102,その、わかりやすさを重視したっていうか、,,
103,まあなるべく万人に受けるようなものの方がいいのかなと思いました。,,
104,まあいわゆる、今でいったら「鬼滅のやいば」とかになるのかな。,,
105,わからないけど。まあそういった方の路線で、うーん、,,
106,まず見てもらうっていう面で、映像が綺麗じゃないとやっぱりいけないのかな、最近のアニメは…っていう。,,
107,絵の美しさを重視して、で、ストーリーはまあ1わ完結…で、,,
108,まあ、ばん人に受け入れられるわかりやすい展開って考えたら、,,
109,主人公とその目標…まあそれが自分の中で決まってないんですけど、,,
110,それが何か明確にあった方がいいのかな…,,
111,まあちょっと前で言ったら、その、「海賊王になる」だとか、,,
112,今で言ったらその、家族というか妹を助けるみたいな、そういうわかりやすい,,
113,大きい目標があって、それに向かうために1わ1わ何かしら問題というか困難に立ち向かっていくみたいな,,
114,構成にした方がいいのかなと思いました。,,
115,すごいぼんやりしてるんですけど、そんな感じです。,,
116,えっと自分も考えたときに、まあどこ向けかって考えたら,,
117,大人と子供で展開できるグッズが違うなっていうふうに思ったんですけど、,,
118,大人とかの方が多分、13わ1クールだったら,,
119,まあ子供が好きなような商品は展開できないと思ったので、,,
120,大人向けっていうふうに絞らせて頂いたときにターゲットとして、,,
121,あ、なんかアニメの企画書はこんなんですみたいなのにのっとって、ちょっとえいって書いたので,,
122,適当っちゃ適当なんですけど、ターゲットとしては、何かこう、,,
123,現代人って多分疲れてて、誰も褒めてくれないので、誰も褒めてくれないは言いすぎですね、褒めてくれないので、,,
124,癒したい人たちに、何かこう、「ビューネくん」みたいな、,,
125,ビューネくん…？,,
126,あの、竹内りょうまがなんか出てきて、褒めるみたいな、,,
127,あー、ビューネくんね。,,
128,あー。,,
129,あんな感じのやつかなっていうふうに思って、,,
130,で、その、30分なので、30分なのでって違う、勝手に考えたんだ。,,
131,1回あたりまあ15分ずつかける2とかで,,
132,できたらいいかなと思って、で、やることとしては何かこう、,,　
133,主人公というかその、相手がひとり出てきて、その人がイケメンか可愛いか、,,
134,なんかこう、そうじゃなくても癒されるか、,,
135,うん。,,
136,そんな感じの人がこう…とにかく失敗したとか成功したとかいろんなことがあった時に、褒めてくれるみたいな。,,
137,アニメなのかなそれ。わからないけど。…感じで、それで癒しをくれて,,
138,最後に頑張ったね、みたいな感じで、こうご飯を出してくれるみたいな話っていうのを考えてます。,,
139,で、世界…ターゲットとしてはまあ、40代ぐらいまでのなんか疲れてる人？,,
140,で、登場人物としては何かこう…アニメなので、イケボみたいなところが,,
141,結構重要なのかなと思って、イケボな上司とか部下とか彼氏とか彼女とか、知らんけど。みたいな感じです。,,
142,で、なんかこう、料理を出すみたいな最後言ったんですけど,,
143,これをすることによって、こうキャラクターグッズだけじゃなくて,,
144,こうレシピ本とか、,,
145,あとコラボカフェ？実際こんなんでしたよ、みたいな商品戦略とか、,,
146,あとコンビニとかでコラボ商品出したら、あ、あれねみたいな感じで,,
147,こう…経済効果が狙えるんじゃないかなってふうに思いました。以上です。,,
148,…ご飯みたいな感じか。,,
149,結果みんなバラバラ…,,
150,バラバラ。,,
151,なんか王道系というかその、ファンタジーとかでいくのか、,,
152,そういう日常？2人が言ってくれたみたいな日常系でいくのかは、なんか最初に決めておきたいというか、,,
153,かなってちょっと思いました。,,
154,確かに。,,
155,層？層から決めた方がいいのかな。,,
156,うん。ターゲットをどこにするか…,,
157,層みんな…,,
158,40代くらいの疲れている人とか…いいかもしれないですね。,,
159,うん。みんな大人でしたもんね。深夜アニメを観る層ですかね。,,
160,うん、確かに。,,
161,すごい深夜前提で話が進んでいってる。,,
162,え、でもなんか確かに、『日常』とか観たことある方います？,,
163,あ、『日常』…,,
164,『日常』みたいな感じかなと思って…,,
165,ああ…いや、,,
166,『日常』あれは夕方にきたからなぁ…うん。NHKだし。,,
167,完全に私NHKかと思ってやってました。,,
168,最近だったら『映像研』とかもありますよね。,,
169,30から40代とかでいいですかね。,,
170,まあ結構高めの,,
171,うん…,,
172,お金出せる…,,
173,お金出せる…,,
174,大人…,,
175,ああ…,,
176,なんか、お金はあるけど使う時間がない人たち？,,
177,ああ…,,
178,わかんない。,,
179,まあアニメにお金を使ってくれそうな、,,
180,10代後半ですかね…,,
181,うん。,,
182,その余裕がある…,,
183,お金を落とせ。,,
184,結構1わ完結っていうのもあれでした？,,
185,うんうん。,,
186,あの、共通してたのかな。,,
187,あ、なんかその、アニメじゃないですけど、,,
188,深夜の30分ドラマで『今日何食べた？』,,
189,ああ～。,,
190,あれとかも、なんかちょっとトラブルがあって、なんかこう、カップルが仲直りして,,
191,片方が料理して最後に一緒にご飯食べて美味しいね、みたいな。,,
192,完全パクリでなんですよ。,,
193,最近料理系多くないですか？,,
194,うん…ご飯をみんな食べたいのかも。,,
195,『ダンジョン飯』とかもあるし、,,
196,あー、うん。,,
197,『えみやさんちの今日のごはん』とかもなんか、,,
198,アニメキャラが今日はこういう天気だからこれを食べたいなー、で、中盤くらいで料理作って,,
199,終盤でいろんなキャラで食べて…みたいな。,,
200,うんうん。なんか漫画とかも多いよね。,,
201,最後にレシピ書いてるみたいな。,,
202,ある！,,
203,レシピ…,,
204,でも1回15分かける2っていいと思う。,,
205,うん。,,
206,うーん。,,
207,『ポプテピ』とかもそうでしたよね。,,
208,あー。,,
209,へぇ。,,
210,あれは同じ話を15分で、,,
211,前半と後半同じ話だけど中身の声優変えてやるっていう。,,
212,あ、そっかそっか。,,
213,AパートBパートで声優が違うのか。,,
214,ま、とっつきやすさがある、かも？,,
215,うんうん。,,
216,途中からでも、とか。,,
217,そうよね。,,
218,「あ、ちょっと前半見逃した」でも後半間に合うっていう。,,
219,うん。,,
220,前半の盛り上がりのネットの,,
221,状況によって後半見ようかな、とか。,,
222,うんうん。,,
223,絶対TVerやりたくないですか。配信、後日配信。,,
224,たぶんネット配信必須な気が…。,,
225,うん。,,
226,あとから見返せる。,,
227,最近公式がYouTubeで出したりしますよね。,,
228,あー。,,
229,うんうん。,,
230,ポケモンとかも一週間だけなら見れるし。,,
231,うん。,,
232,今DVDっていうよりそっちなのかな…どうなんだろう。,,
233,円盤最近売れないっぽいですね。,,
234,あー。,,
235,DVDにはすっごい特典を,,
236,いっぱいつけて、高額で売るっていうのが…うんうんうん。,,
237,より付加価値付けないと…,,
238,それよりも再生回数で稼いだほうが早そう。最近は。,,
239,あー。,,
240,癒されたいんなら何回もそれ見るやろうしなぁ。,,
241,うん。,,
242,移動中とかに見られるっていうのもいいことかもしれん。,,
243,うんうんうん。,,
244,シナリオ…,,
245,シナリオ…そういう感じでいくとどれがいいんだろう。,,
246,え、実際にその、アニメグッズ買ったことってありますか？,,
247,グッズかどうかわからないですけど、コナンカフェ行ったことあります。,,
248,あー。,,
249,へー。,,
250,今全然だけど、前は缶バッジとか死ぬほど買ってた。,,
251,へー。,,
252,でもそういう層って,,
253,うーん。,,
254,やっぱり限られてるような感じはするなぁ。,,
255,コラボの化粧品とか。,,
256,あー。,,
257,あー、買う。,,
258,ちょっと好きでも、こう…普通のと、あったらね、こっち、みたいな。,,
259,うんうん。,,
260,メガネとコラボとかなんか…めっちゃある気がする。,,
261,あー、ありますね。,,
262,腕時計コラボ買いました。,,
263,あー！,,
264,なんか今ウケるのってそっちな気が…。,,
265,うん、なんか実用的な…,,
266,キーホルダーとか缶バッジとかよりも、,,
267,日常にそれを落とし込む感じ…,,
268,もうコラボして…うんうん。,,
269,コラボ商品の展開…,,
270,ゆうてメガネとかも、なかなかこじ付け感あっても買うもんな。,,
271,どうせなら…みたいな。,,
272,うん。,,
273,じゃあ、何だろう…えっと、プロモーションかな。プロモーション…,,
274,ローソンのあれ、買いません？3個買ったら1個くれる…,,
275,あっ、買う…！,,
276,九大穴場ですからね。,,
277,ね。,,
278,コンビニと…やっぱりコンビニ系が強いのと…コラボ人気商品…でもやっぱりそれを考えると…,,
279,それで落とし込めそうなやつがいいな…,,
280,結局お話は日常系になるんですかね、そしたら。,,
281,そう…ね。日常系かな。,,
282,現代でいいのかな、舞台は。,,
283,確かに。,,
284,その時代背景に溶け込ませるっていうなら、,,
285,やっぱり大事かな…って。,,
286,うんうんうん。,,
287,じゃあ現代にしましょう。,,
288,舞台…舞台…,,
289,何のジャンルにするか。,,
290,うん…,,
291,現代演じるって言ったら、ほのぼの系とか、ラブコメとかもあるし…,,
292,ああ、確かに。,,
293,けもフレとかってどういう…なんか、ストーリー的にはどういう感じだったんですか？,,
294,けもフレは、,,
295,見たことない…,,
296,女の子が、女の子っていうか結局最後まで性別わからなかったけど、,,
297,かばんちゃんって言われてる子が、突然なんか、よくわからんとこに放り込まれて、起きたらその、,,
298,サーバルの擬人化した女の子が、サーバルちゃんがいて、,,
299,かばんちゃんがどこから来たのかを、サーバルちゃんが一緒に探してあげるよって言って、,,
300,そこから色んな、サバンナ地方とかいろいろ、動物が住んでる環境ってあるじゃないですか、,,
301,それをぐるぐる回っていって…ていう。,,
302,ふーん。,,
303,その時なんか、動物の擬人化がいっぱい出てくるんですけど、,,
304,出会って…のコミュニケーションみたいなとこがメインっていうこと…かな？,,
305,コミュニケーションとか、,,
306,獣同士の。,,
307,人間の、ちょっと知恵を貸して動物が共存できるように助けてあげたりとかしたりとか…,,
308,ふーん。,,
309,でも何、その、CM入る前に今日アニメの中に出てきた動物の実際の動物園での様子みたいな、,,
310,映像も入って、うん。リアルとアニメがリンクしてる部分が多少あった。,,
311,ふーん。,,
312,けもフレは、最終回に行く前に鬱展開みたいなちょっとあって。,,
313,うん。,,
314,死んだかもしれないみたいな。サーバルちゃんが。,,
315,死んだかもしれないところをかばんちゃんが助けて、かばんちゃんが今度死にかけたのを今までのアニメで,,
316,ずっと助けてきた動物たちが集合して助けるみたいな。,,
317,ふーん。,,
318,そういう、仲間要素みたいなのと、最近アニメにありがちだけど鬱展開、っていうのも盛り込まれてたのが、,,
319,人気の要因だったのかなって。,,
320,へー。結構要素が多い。そうなると…,,
321,けもフレってどこの枠でしたっけ、あれ。,,
322,たつきでしょ…,,
323,調べてみようか。,,
324,枠ってどういうことですか。,,
325,あの…,,
326,時間帯。,,
327,時間帯。,,
328,深夜枠…,,
329,深夜っ,,
330,深夜です。,,
331,へー。,,
332,ぽいですけどね。,,
333,なんか早朝にやってたイメージがあった…,,
334,それ深夜です。,,
335,そっかそっか。,,
336,ある人にとっては深夜だけどある人にとっては早朝みたいな時間帯でやってた気がする。,,
337,なんかでも、その割に結構ちっちゃい子とかも受けてた気がするんですよね。,,
338,うんうん。,,
339,なんか最近アーケードゲーム…,,
340,あー！になったからっていうことか。,,
341,けもフレ2もあったし、最近。,,
342,ふーん。,,
343,なんか小学生の子とかが、意外とグッズとかつけてた気がする。,,
344,ビジュアルの可愛さは結構小学生向けだけど、,,
345,うん、ですよね。,,
346,内容は、大人が見ると苦しくなる内容だったんですよね。,,
347,あー。,,
348,もともと深夜枠で、朝の時間帯で再放送らしいです。,,
349,あー。,,
350,あ、なるほどなるほど。,,
351,さっき日常系って言ったけど、もう1個人気要素としては、,,
352,鬼滅とかはそうだと思うんですけど、理不尽さとか,,
353,うーん。,,
354,鬱要素っていうのは,,
355,あー。,,
356,最近多いのかなと。,,
357,うーん。,,
358,単純に能天気に明るいだけだと、,,
359,うん。,,
360,ゆうてアニメやしって思うけど、アニメの中の人も苦しむところがあるんだなーっていうとこで,,
361,共感性を狙ってるんかなって思うときは…,,
362,それも時代背景的なことかもしれない。,,
363,理不尽とか。,,
364,ですね。うーん。,,
365,疲れも面白そうだな。,,
366,暗さみたいな。,,
367,アイデアは出るけど結局どれでいっていいかがわからんなぁ…,,
368,まとまらないですね、なかなか。,,
369,日常系のアニメ…『日常』ってアニメ知ってます？,,
370,あれほんとにただ日常しか出てこない。,,
371,タイトルはわかるくらい…,,
372,日常しか出てこない…,,
373,あれなんか、ウインナーを落とした…あれあれ、なんか、ウインナーを箸から落として、そしたら,,
374,ウインナーがすごい、教室の中をグワーッてめっちゃいって、,,
375,なんかリーゼントの中とかぶえっていったり、なんかこう…しまくって、,,
376,最後にちゃんと救出して美味しいって言って食べるのを、,,
377,へー。,,
378,永遠に、3分…,,
379,長々やって…,,
380,ウインナーがちょっと跳ねるじゃないですか、床に。,,
381,あれを、永遠に跳ねるっていう感じにして、,,
382,「アウトだよ！！」で終わるっていう。,,
383,ふーん。,,
384,あれたぶん、日常によくあることの、一要素だけをめちゃくちゃオーバーに、なんていう…,,
385,ふーん…,,
386,あれは本当、なんであんな人気なんだろう。,,
387,それ。意味が分からんかったから。,,
388,でもあれめっちゃ好きですよ。小説まで買ったから。,,
389,あれは原作者が好きっていうか…,,
390,え、小説ってどうやって書くんですか。,,
391,え、なんかそれを…,,
392,「ウインナーが跳ねた。ウインナーが跳ねた…」,,
393,全部、それは会話で何とかなるように。,,
394,あー。,,
395,あー。,,
396,「何とかだよ」「何とか何とか」「何とかだよ」「何とか何とか」…,,
397,で、ちょっとだけ背景描写も入り込ませて…いや意外といけるよな…,,
398,『男子高校生の日常』とかもただバカしてるだけだもんな…,,
399,ただまああれ、京アニが作ってて絵がめっちゃ綺麗だったからっていうあれが…,,
400,あー、やっぱ絵の綺麗さなのか…あと『女子高生の無駄遣い』,,
401,あ、あれ面白い。,,
402,日常系のアニメってそれくらいですかね。最近のだと。,,
403,あ、あと『涼宮ハルヒ』とか。,,
404,あー！,,
405,日常になんかすごい人が来て、のやつだよね。,,
406,日常系といっても、ちょっと外れたところがないといけないんですかね。,,
407,うーん。,,
408,どうなんでしょう。,,
409,13わでうまく回収し切るような感じだったらいいのかなと。,,
410,うーん。,,
411,ハルヒ13わで無理だわ、あれ。,,
412,なんか…それこそ1話分はもう説明に使うみたいな感じでやるんだったら、ワンチャンいけるのかもしれない。,,
413,導入でめちゃめちゃ説明をしてくれる人がいる…,,
414,説明しよう！何とかかんとか…,,
415,もし日常アニメにするんだったらこう、普段過ごしてる時に、どういう時にちょっとクスってきたかとか、,,
416,そういう自分の生活を思い返したほうが早いかもしれない。,,
417,うーん。,,
418,それってコラボ商品いけるかなってちらっと…,,
419,あー、そっか。,,
420,やりづらそうな気は…,,
421,そっか、売れ…人気が出て、売り上げがあって…なることが条件。,,
422,それ考えると絶対最初の癒し系のやつがいいと思うんですけどね。,,
423,うん、良さそうな気がしましたね。,,
424,既視感がありまくるなとは思って…,,
425,あー。,,
426,でもアニメで、登場人物がある意味1人しかいないってことですよね。その褒めてくれる人も。,,
427,うん。,,
428,それって初めてじゃないですか。,,
429,まあ…アプリでは散々やりますけど…,,
430,それでいきます？いい気がする。,,
431,うんうん。,,
432,なんか、ご飯が出てくるっていうのが、結構なんかいいかなって思いました。,,
433,でも癒し系…なんかどっちかしか入らないかなって思って、その、,,
434,例えば男…男性が出てくるんだったら女性が多く見るかなって思って。,,
435,ああ。,,
436,それを結構、工夫はいるのかなって,,
437,うん。,,
438,ちょっと思ったんですけど。,,
439,15かけ2にすることで、,,
440,あー、なるほど。,,
441,そういうことか。はー。,,
442,なんかこう、男女男男女男女みたいな。,,
443,男女男男女！？,,
444,でもあれじゃない、今週は年上に褒められたい週で、年上の女性と男性が前半と後半出てきて…,,
445,あー。,,
446,あー。で、なんかこう、女子に褒められるのって、それこそ友人目線とかでもいいかなって思って。,,
447,うんうんうん。,,
448,なんか、バレンタインとかだったら友人が友チョコを作ってくれました、ホームパーティーです。ちゃっちゃちゃーん、みたいな。,,
449,ちゃっちゃちゃーん！？,,
450,わかんないけど。,,
451,なんか結構女性って、女子に褒められるのも結構好きとかいう人もいるだろうし、,,
452,あー。,,
453,あと、なんかそれでやったら幼馴染的な感じで男性も取り込めるのかな、わからない、みたいな。,,
454,そのシチュエーションで13週埋まりそうじゃないですか。,,
455,それでなんとか…,,
456,で、あと自分が癒されたい時あとから公式のサイトから,,
457,追い直してもらって。,,
458,うんうん。,,
459,見直してもらって。あとなんか、ハイライ…褒めてるところをこう切り取ってハイライト動画をyoutubeに…いってみようかなと思って。,,
460,ハイライトをtwitterとかにして、,,
461,ああ！,,
462,ちゃんと見れるのをyoutubeにすることで、youtubeの再生回数で稼ぐ。,,
463,ああ…,,
464,15分かける2で男性用女性用みたいな感じで分ける感じですか？,,
465,ああ…,,
466,なんか、男性用女性用,,
467,「用」っていうか…うん。,,
468,って言わずに、,,
469,男性バージョン…,,
470,男性が出てくるパートと,,
471,女性パート…,,
472,女性が出てくるパートで、,,
473,それは、なんかこう、順番はガチャにしといてどっちが来るかなって。ランダムにしといて。,,
474,ある。毎週ランダムにしとくってことですね。,,
475,どうなんだろう。予告とかも、そんなにいらないかなとは思う。,,
476,うーん。,,
477,来週はなんとか編をお送りしますだけで。,,
478,うん。お送りします…,,
479,シチュエーションだけパッと言うみたいな。,,
480,来週は、ビーフシチューだよ,,
481,みたいな。,,
482,料理を言うだけ…！？,,
483,料理を…,,
484,最後に出てくるのが楽しみなやつじゃないですか、それは。,,
485,あ、確かに。,,
486,なんか…めちゃめちゃ、概要だけ言っといて詳細レシピは後で見てもらうなり、,,
487,ああ。,,
488,レシピ本で見てもらうなり…,,
489,レシピを見たかったらサイトを訪れないといけない…,,
490,詳しく…レシピの詳しい内容は公式サイトをチェック！,,
491,うん。,,
492,アクセス数を稼ぐ…,,
493,声優も毎週変えたらいいんじゃないですか。,,
494,うん、そう思ってます。,,
495,なんか、お金がまあまああったら豪華な人にして…,,
496,今回は予算のことは言われてないから好き勝手やっていいと思うんですよね。,,
497,うーん。,,
498,なんか、幅広い年代の人を取り込めるような…,,
499,深夜枠だったら、,,
500,疲れてから見るじゃないですか。,,
501,ああ、確かに。,,
502,朝とかにされても別にまだ疲れてないしって時間だから、深夜にする意味はあるかな。,,
503,確かに。,,
504,これまとめでいきます？,,
505,あ、うん。,,
506,ありがとうございます。,,
507,ありがとうございます。,,
508,ありがとうございます。,,
509,自然とまとめが出来ていた。ありがとうございます。,,
510,あと展開できそうなのって何ですかね。,,
511,あ、グッズとして？,,
512,グッズとして。,,
513,レシピ本と、,,
514,あとは、コンビニとのコラボ…,,
515,コラボカフェかな。,,
516,ああ。,,
517,コラボカフェ…カフェってあるんですかね。,,
518,なんか…あるなぁ。,,
519,全国の6都市くらいでやって、,,
520,へー。,,
521,あの…,,
522,アニメに出てきた料理が実際出てきたりとか、,,
523,ああ。,,
524,そのキャラのモチーフの飲みものがあったりとか。,,
525,うん。あったりとか。,,
526,でこう…飲みもの1個頼んだらコースターが1個プレゼントされたりとか。,,
527,不思議やなぁ。,,
528,席を予約制にしておいて、予約代を…が入るんですよ、また。,,
529,で、予約しといた人にはシールくれるとか。,,
530,はー。すげ。,,
531,で、またお客が500円なのにシールを買いに予約するとか。,,
532,はー。,,
533,わかる。,,
534,もうお金を使いたいみたいな感じなのかな。,,
535,うん…,,
536,公式に投資をしている。,,
537,あー。,,
538,公式に投資をしている。,,
539,また次もいいもの作って下さい…,,
540,下さいねっていう。で、シリーズ化も見込めると。,,
541,気持ちとかエモいですもんね、コラボカフェ。,,
542,うん。,,
543,セーラームーンの…なんとかみたいな。,,
544,あー、それ。でもそれ考えたら、,,
545,料理系が最後に出るんだったらエプロンとか、,,
546,ああ、確かに。,,
547,ああ。,,
548,料理グッズとコラボもできそう。,,
549,ああ、料理グッズとかも…,,
550,なんかこう、クラシルとか料理アプリがあるけど、ああいうのともコラボ…,,
551,クラシル…！確かに、良い…！,,
552,できそうじゃないですか。,,
553,普通にお皿とかありそうや。,,
554,うんうん。,,
555,ありそう。,,
556,実際出てきたやつ。,,
557,買うなあ。うん。,,
558,うん。あとクラシルのプレミアム会員だっけ、なんか課金システム、,,
559,限定動画とか。,,
560,ああ。,,
561,おお。,,
562,わかんない。,,
563,なんかレシピ読み上げてくれるやつとかあるじゃないですか、,,
564,うんうん。,,
565,見ながらでもできる。,,
566,それも声入れといてもらったらいいんじゃないですか。,,
567,確かに！,,
568,その回の人に。,,
569,いかん、夢が膨らむ。,,
570,いや、なんかちょっと見てみたくなった。,,
571,声優誰がいいですかね。,,
572,小野D。,,
573,ああ～。,,
574,梶さん。,,
575,やっぱ梶さん。,,
576,どうでしょう、まとまってきたかなと。,,
577,だいぶ…,,
578,これ13話の内容考えなきゃいけないんですかね。,,
579,いやそこまでは…,,
580,まあこういう…,,
581,こういう感じで進めます…,,
582,進めます、で。いいです。,,
583,ああ、おなかすいてきた。,,
584,料理…,,
585,時間的にも。,,
586,もう呼びます？,,
587,そうですね、呼びましょう。,,
